"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-1View Gene Tree","atp6v0d1  (ENSAPOG00000016647)Compare Regions (MVNR01003051.1:33,575-41,605:-1)View Sequence Alignments","n/a","94.29 %","94.02 %","0","100.00","Yes"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","ATP6V0D1  (ENSAMEG00000017393)Compare Regions (GL192596.1:1,488,104-1,523,416:-1)View Sequence Alignments","0.00707","99.15 %","99.15 %","100","100.00","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-1View Gene Tree","atp6v0d1  (ENSACIG00000006081)Compare Regions (CCOE01000655.1:91,495-98,483:1)View Sequence Alignments","n/a","94.29 %","94.02 %","0","100.00","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-1View Gene Tree","atp6v0d1  (ENSAOCG00000007398)Compare Regions (NXFZ01003792.1:255,155-264,321:1)View Sequence Alignments","n/a","94.29 %","94.02 %","0","100.00","Yes"
"Orange clownfish (Amphiprion percula)","1-to-1View Gene Tree","atp6v0d1  (ENSAPEG00000000164)Compare Regions (1:7,553,518-7,563,446:1)View Sequence Alignments","n/a","94.29 %","94.02 %","0","100.00","Yes"
"Climbing perch (Anabas testudineus)","1-to-1View Gene Tree","atp6v0d1  (ENSATEG00000017085)Compare Regions (OOHO01000010.1:2,101,698-2,107,738:-1)View Sequence Alignments","n/a","94.29 %","94.02 %","0","99.91","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-1View Gene Tree","ATP6V0D1  (ENSAPLG00000007502)Compare Regions (12:9,015,130-9,040,093:1)View Sequence Alignments","n/a","87.18 %","87.18 %","25","87.74","Yes"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","ATP6V0D1  (ENSACAG00000009818)Compare Regions (GL344971.1:40-7,820:1)View Sequence Alignments","n/a","85.56 %","87.75 %","25","87.65","Yes"
"Pink-footed goose (Anser brachyrhynchus)","1-to-1View Gene Tree","ATP6V0D1  (ENSABRG00000003539)Compare Regions (NXHY01000029.1:636,247-672,987:1)View Sequence Alignments","n/a","96.01 %","96.01 %","50","100.00","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","ATP6V0D1  (ENSANAG00000024349)Compare Regions (KZ205505.1:2,820,454-2,863,575:-1)View Sequence Alignments","n/a","90.46 %","100.00 %","100","100.00","Yes"
