"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-1View Gene Tree","epha4a  (ENSAPOG00000012884)Compare Regions (MVNR01000051.1:798,598-860,553:1)View Sequence Alignments","n/a","83.62 %","83.87 %","50","96.86","Yes"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","EPHA4  (ENSAMEG00000007486)Compare Regions (GL193229.1:656,810-794,623:1)View Sequence Alignments","0.02175","98.78 %","98.78 %","25","100.00","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-1View Gene Tree","epha4a  (ENSACIG00000021714)Compare Regions (CCOE01000844.1:738,468-788,926:1)View Sequence Alignments","n/a","84.22 %","77.38 %","50","97.33","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-1View Gene Tree","EPHA4  (ENSAOCG00000011254)Compare Regions (NXFZ01003197.1:367,938-425,268:-1)View Sequence Alignments","n/a","83.92 %","82.05 %","0","96.98","Yes"
"Orange clownfish (Amphiprion percula)","1-to-1View Gene Tree","EPHA4  (ENSAPEG00000000975)Compare Regions (9:19,919,869-19,980,176:-1)View Sequence Alignments","n/a","83.52 %","83.77 %","50","96.86","Yes"
"Climbing perch (Anabas testudineus)","1-to-1View Gene Tree","epha4a  (ENSATEG00000021519)Compare Regions (OOHO01000021.1:8,404,200-8,452,426:1)View Sequence Alignments","n/a","83.22 %","83.47 %","50","96.86","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-1View Gene Tree","EPHA4  (ENSAPLG00000009611)Compare Regions (9:15,357,665-15,451,860:-1)View Sequence Alignments","n/a","90.10 %","94.12 %","50","99.07","Yes"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","EPHA4  (ENSACAG00000005061)Compare Regions (3:26,102,562-26,280,862:1)View Sequence Alignments","n/a","92.15 %","92.90 %","50","100.00","Yes"
"Pink-footed goose (Anser brachyrhynchus)","1-to-1View Gene Tree","EPHA4  (ENSABRG00000019513)Compare Regions (NXHY01000051.1:5,025,177-5,143,168:1)View Sequence Alignments","n/a","90.84 %","92.49 %","50","97.99","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","EPHA4  (ENSANAG00000034631)Compare Regions (KZ197258.1:7,097,916-7,259,423:1)View Sequence Alignments","0.01701","99.59 %","99.59 %","100","100.00","Yes"
"Great spotted kiwi (Apteryx haastii)","1-to-1View Gene Tree","EPHA4  (ENSAHAG00000009793)Compare Regions (PTFD01000073.1:2,431,670-2,535,110:1)View Sequence Alignments","n/a","93.71 %","93.71 %","50","100.00","Yes"
"Little spotted kiwi (Apteryx owenii)","1-to-1View Gene Tree","EPHA4  (ENSAOWG00000017532)Compare Regions (PTFC01000026.1:2,432,802-2,535,604:1)View Sequence Alignments","n/a","94.06 %","88.34 %","50","98.39","Yes"
"Okarito brown kiwi (Apteryx rowi)","1-to-1View Gene Tree","EPHA4  (ENSARWG00000005770)Compare Regions (PTFB01000037.1:2,383,530-2,486,052:-1)View Sequence Alignments","n/a","92.54 %","91.78 %","50","99.44","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-1View Gene Tree","epha4a  (ENSACLG00000013751)Compare Regions (14:31,916,633-31,975,617:-1)View Sequence Alignments","n/a","82.91 %","83.16 %","50","96.86","Yes"
"Mexican tetra (Astyanax mexicanus)","1-to-manyView Gene Tree","epha4a  (ENSAMXG00000006290)Compare Regions (16:8,986,980-9,064,906:-1)View Sequence Alignments","n/a","83.21 %","80.43 %","0","76.30","Yes"
"Mexican tetra (Astyanax mexicanus)","1-to-manyView Gene Tree","epha4l  (ENSAMXG00000006406)Compare Regions (1:380,486-443,485:1)View Sequence Alignments","n/a","75.18 %","72.21 %","0","12.01","No"
"American bison (Bison bison bison)","1-to-1View Gene Tree","EPHA4  (ENSBBBG00000023004)Compare Regions (KN264783.1:13,871,464-14,024,295:1)View Sequence Alignments","0.01982","98.48 %","98.48 %","50","100.00","Yes"
"Wild yak (Bos mutus)","1-to-1View Gene Tree","EPHA4  (ENSBMUG00000018340)Compare Regions (JH880419.1:1,670,791-1,824,277:-1)View Sequence Alignments","0.01951","98.48 %","98.48 %","0","100.00","Yes"
"Cow (Bos taurus)","1-to-1View Gene Tree","EPHA4  (ENSBTAG00000010030)Compare Regions (2:109,525,497-109,678,039:-1)View Sequence Alignments","0.02103","98.38 %","98.38 %","100","100.00","Yes"
"Ruff (Calidris pugnax)","1-to-1View Gene Tree","EPHA4  (ENSCPUG00000014238)Compare Regions (KQ482545.1:2,035,148-2,136,925:1)View Sequence Alignments","n/a","95.04 %","89.35 %","50","98.67","Yes"
"Spoon-billed sandpiper (Calidris pygmaea)","1-to-1View Gene Tree","EPHA4  (ENSCPGG00000006789)Compare Regions (QJSC01027590.1:1,631,416-1,732,451:1)View Sequence Alignments","n/a","94.02 %","94.02 %","50","100.00","Yes"
"Marmoset (Callithrix jacchus)","1-to-1View Gene Tree","EPHA4  (ENSCJAG00000012036)Compare Regions (NTIC01035500.1:136,122,328-136,273,797:-1)View Sequence Alignments","0.01179","99.70 %","99.70 %","100","100.00","Yes"
"Dog (Canis lupus familiaris)","1-to-1View Gene Tree","EPHA4  (ENSCAFG00000015936)Compare Regions (37:27,677,566-27,809,643:-1)View Sequence Alignments","0.01455","99.06 %","96.04 %","100","99.63","Yes"
"Dingo (Canis lupus dingo)","1-to-1View Gene Tree","EPHA4  (ENSCAFG00020026807)Compare Regions (QKWQ01002355.1:3,142,221-3,277,445:1)View Sequence Alignments","0.01997","98.78 %","98.78 %","100","100.00","Yes"
"Goat (Capra hircus)","1-to-1View Gene Tree","EPHA4  (ENSCHIG00000025019)Compare Regions (2:26,138,095-26,290,153:1)View Sequence Alignments","0.02117","98.48 %","98.48 %","100","100.00","Yes"
"Tarsier (Carlito syrichta)","1-to-1View Gene Tree","EPHA4  (ENSTSYG00000013210)Compare Regions (KE939253.1:591,982-743,744:-1)View Sequence Alignments","0.01781","99.26 %","95.54 %","50","100.00","Yes"
"American beaver (Castor canadensis)","1-to-1View Gene Tree","Epha4  (ENSCCNG00000000010)Compare Regions (MTKA01000244.1:506,053-632,801:1)View Sequence Alignments","0.02655","98.27 %","98.07 %","0","100.00","Yes"
"Brazilian guinea pig (Cavia aperea)","1-to-manyView Gene Tree","ENSCAPG00000007656Compare Regions (AVPZ01000888.1:3,849,867-3,852,996:1)View Sequence Alignments","n/a","99.15 %","11.76 %","100","58.96","No"
"Brazilian guinea pig (Cavia aperea)","1-to-manyView Gene Tree","ENSCAPG00000008570Compare Regions (AVPZ01000888.1:3,729,440-3,831,351:1)View Sequence Alignments","n/a","84.56 %","45.54 %","100","86.19","No"
"Guinea Pig (Cavia porcellus)","1-to-1View Gene Tree","EPHA4  (ENSCPOG00000011048)Compare Regions (DS562944.1:3,728,423-3,862,683:1)View Sequence Alignments","0.02248","98.28 %","98.28 %","100","100.00","Yes"
"Capuchin (Cebus capucinus imitator)","1-to-1View Gene Tree","EPHA4  (ENSCCAG00000037702)Compare Regions (KV389517.1:5,581,837-5,739,733:-1)View Sequence Alignments","0.01963","99.58 %","95.84 %","75","100.00","Yes"
"Sooty mangabey (Cercocebus atys)","1-to-1View Gene Tree","EPHA4  (ENSCATG00000038507)Compare Regions (KQ012983.1:6,422,363-6,584,703:1)View Sequence Alignments","0.01232","99.90 %","99.90 %","100","100.00","Yes"
"Abingdon island giant tortoise (Chelonoidis abingdonii)","1-to-1View Gene Tree","EPHA4  (ENSCABG00000006336)Compare Regions (PKMU01005512.1:99,209-228,356:-1)View Sequence Alignments","n/a","93.61 %","93.61 %","50","100.00","Yes"
"Long-tailed chinchilla (Chinchilla lanigera)","1-to-1View Gene Tree","EPHA4  (ENSCLAG00000007092)Compare Regions (JH721913.1:12,099,757-12,240,199:1)View Sequence Alignments","0.02275","98.48 %","98.48 %","100","100.00","Yes"
"Vervet-AGM (Chlorocebus sabaeus)","1-to-1View Gene Tree","EPHA4  (ENSCSAG00000007861)Compare Regions (10:107,352,530-107,499,788:-1)View Sequence Alignments","0.01202","99.90 %","99.90 %","100","100.00","Yes"
"Sloth (Choloepus hoffmanni)","1-to-1View Gene Tree","EPHA4  (ENSCHOG00000001848)Compare Regions (GeneScaffold_2359:21,043-131,215:-1)View Sequence Alignments","n/a","93.20 %","93.20 %","0","98.04","Yes"
"Painted turtle (Chrysemys picta bellii)","1-to-1View Gene Tree","EPHA4  (ENSCPBG00000019328)Compare Regions (KK088247.1:9,893,289-10,030,347:-1)View Sequence Alignments","n/a","93.81 %","93.81 %","50","98.79","Yes"
"Angola colobus (Colobus angolensis palliatus)","1-to-1View Gene Tree","EPHA4  (ENSCANG00000040761)Compare Regions (KN981935.1:824,678-980,258:-1)View Sequence Alignments","0.01057","99.90 %","99.90 %","50","100.00","Yes"
"Japanese quail (Coturnix japonica)","1-to-1View Gene Tree","EPHA4  (ENSCJPG00005005771)Compare Regions (9:6,251,390-6,445,665:-1)View Sequence Alignments","n/a","91.28 %","93.41 %","50","96.24","Yes"
"Chinese hamster CHOK1GS (Cricetulus griseus)","1-to-1View Gene Tree","Epha4  (ENSCGRG00001021931)Compare Regions (scaffold_0:193,484,077-193,623,935:-1)View Sequence Alignments","0.01423","98.68 %","98.68 %","100","100.00","Yes"
"Chinese hamster CriGri (Cricetulus griseus)","1-to-1View Gene Tree","Epha4  (ENSCGRG00000001284)Compare Regions (JH001241.1:276,054-409,616:1)View Sequence Alignments","0.05460","95.88 %","94.52 %","0","99.08","Yes"
"Chinese hamster PICR (Cricetulus griseus)","1-to-1View Gene Tree","Epha4  (ENSCGRG00015005772)Compare Regions (RAZU01000074.1:50,399,108-50,531,947:-1)View Sequence Alignments","0.01429","98.68 %","98.68 %","100","100.00","Yes"
"Australian saltwater crocodile (Crocodylus porosus)","1-to-1View Gene Tree","EPHA4  (ENSCPRG00005004622)Compare Regions (MDVP01000031.1:39,351,397-39,511,550:1)View Sequence Alignments","n/a","93.62 %","93.71 %","50","100.00","Yes"
"Blue tit (Cyanistes caeruleus)","1-to-1View Gene Tree","EPHA4  (ENSCCEG00000019016)Compare Regions (PDCF01000018.1:17,321,944-17,477,140:1)View Sequence Alignments","n/a","67.09 %","85.60 %","50","85.54","Yes"
"Tongue sole (Cynoglossus semilaevis)","1-to-1View Gene Tree","epha4a  (ENSCSEG00000006677)Compare Regions (4:8,525,170-8,577,488:-1)View Sequence Alignments","n/a","83.62 %","83.87 %","0","99.87","Yes"
"Sheepshead minnow (Cyprinodon variegatus)","1-to-1View Gene Tree","EPHA4  (ENSCVAG00000019581)Compare Regions (KL653004.1:184,913-274,830:-1)View Sequence Alignments","n/a","75.92 %","73.23 %","25","79.35","Yes"
"Zebrafish (Danio rerio)","1-to-manyView Gene Tree","epha4l  (ENSDARG00000010767)Compare Regions (15:41,945,310-42,039,192:-1)View Sequence Alignments","n/a","74.29 %","74.44 %","50","5.37","Yes"
