"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-1View Gene Tree","xrcc6  (ENSAPOG00000012704)Compare Regions (MVNR01000349.1:93,436-103,145:1)View Sequence Alignments","n/a","56.41 %","56.32 %","0","94.94","Yes"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","XRCC6  (ENSAMEG00000015579)Compare Regions (GL194131.1:191,360-212,556:-1)View Sequence Alignments","0.22083","84.51 %","84.24 %","100","100.00","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-1View Gene Tree","xrcc6  (ENSACIG00000021277)Compare Regions (CCOE01000244.1:2,809,620-2,815,927:-1)View Sequence Alignments","n/a","55.90 %","55.99 %","25","91.87","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-1View Gene Tree","xrcc6  (ENSAOCG00000021344)Compare Regions (NXFZ01002978.1:77,402-85,102:1)View Sequence Alignments","n/a","55.41 %","55.50 %","25","94.59","Yes"
"Orange clownfish (Amphiprion percula)","1-to-1View Gene Tree","xrcc6  (ENSAPEG00000020712)Compare Regions (PYAM01000026.1:245,638-253,703:-1)View Sequence Alignments","n/a","55.74 %","55.83 %","25","94.61","Yes"
"Climbing perch (Anabas testudineus)","1-to-1View Gene Tree","xrcc6  (ENSATEG00000007119)Compare Regions (OOHO01000022.1:5,407,466-5,412,926:-1)View Sequence Alignments","n/a","56.23 %","56.32 %","25","94.78","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-1View Gene Tree","XRCC6  (ENSAPLG00000004469)Compare Regions (1:41,989,738-42,002,111:1)View Sequence Alignments","n/a","68.23 %","69.13 %","100","95.17","Yes"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","XRCC6  (ENSACAG00000004508)Compare Regions (5:26,622,100-26,637,522:1)View Sequence Alignments","n/a","70.52 %","71.10 %","100","89.38","Yes"
"Pink-footed goose (Anser brachyrhynchus)","1-to-1View Gene Tree","XRCC6  (ENSABRG00000004750)Compare Regions (NXHY01000037.1:6,000,462-6,013,034:1)View Sequence Alignments","n/a","68.88 %","69.79 %","100","94.56","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","XRCC6  (ENSANAG00000018684)Compare Regions (KZ205710.1:412,832-444,429:-1)View Sequence Alignments","0.04375","98.69 %","98.69 %","100","100.00","Yes"
"Great spotted kiwi (Apteryx haastii)","1-to-1View Gene Tree","XRCC6  (ENSAHAG00000007613)Compare Regions (PTFD01000127.1:175,009-188,747:-1)View Sequence Alignments","n/a","71.41 %","71.76 %","100","94.17","Yes"
"Little spotted kiwi (Apteryx owenii)","1-to-1View Gene Tree","XRCC6  (ENSAOWG00000012180)Compare Regions (PTFC01000045.1:2,498,196-2,513,109:1)View Sequence Alignments","n/a","70.58 %","68.14 %","100","93.26","Yes"
"Okarito brown kiwi (Apteryx rowi)","1-to-1View Gene Tree","XRCC6  (ENSARWG00000016020)Compare Regions (PTFB01000288.1:1,068,729-1,082,482:-1)View Sequence Alignments","n/a","71.24 %","71.59 %","100","94.30","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-1View Gene Tree","xrcc6  (ENSACLG00000018608)Compare Regions (8:17,555,947-17,563,176:-1)View Sequence Alignments","n/a","56.56 %","56.65 %","25","94.44","Yes"
"Mexican tetra (Astyanax mexicanus)","1-to-1View Gene Tree","xrcc6  (ENSAMXG00000007545)Compare Regions (4:1,898,140-1,904,056:-1)View Sequence Alignments","n/a","57.64 %","57.64 %","25","90.06","Yes"
"American bison (Bison bison bison)","1-to-1View Gene Tree","XRCC6  (ENSBBBG00000017117)Compare Regions (KN259619.1:123,309-148,306:-1)View Sequence Alignments","0.22151","85.34 %","85.06 %","100","100.00","Yes"
"Wild yak (Bos mutus)","1-to-1View Gene Tree","XRCC6  (ENSBMUG00000016669)Compare Regions (JH883516.1:610,885-636,738:1)View Sequence Alignments","0.21551","84.97 %","85.39 %","100","100.00","Yes"
"Cow (Bos taurus)","1-to-1View Gene Tree","XRCC6  (ENSBTAG00000006103)Compare Regions (5:112,706,895-112,730,021:1)View Sequence Alignments","0.22297","84.48 %","84.89 %","100","93.80","Yes"
"Caenorhabditis elegans (Caenorhabditis elegans)","1-to-1View Gene Tree","cku-70  (WBGene00000519)Compare Regions (III:11,154,827-11,168,820:1)View Sequence Alignments","n/a","19.15 %","21.35 %","n/a","n/a","No"
"Ruff (Calidris pugnax)","1-to-1View Gene Tree","XRCC6  (ENSCPUG00000015603)Compare Regions (KQ483353.1:5,398,646-5,412,004:1)View Sequence Alignments","n/a","70.15 %","70.61 %","100","94.00","Yes"
"Spoon-billed sandpiper (Calidris pygmaea)","1-to-1View Gene Tree","XRCC6  (ENSCPGG00000005352)Compare Regions (QJSC01010317.1:1,501,943-1,514,730:-1)View Sequence Alignments","n/a","70.15 %","70.61 %","100","94.00","Yes"
"Marmoset (Callithrix jacchus)","1-to-1View Gene Tree","ENSCJAG00000041603Compare Regions (NTIC01000001.1:123,153,792-123,155,609:-1)View Sequence Alignments","n/a","96.38 %","34.98 %","0","n/a","No"
"Dog (Canis lupus familiaris)","1-to-1View Gene Tree","XRCC6  (ENSCAFG00000001043)Compare Regions (10:23,636,554-23,660,823:-1)View Sequence Alignments","0.20661","84.87 %","84.73 %","100","100.00","Yes"
"Dingo (Canis lupus dingo)","1-to-1View Gene Tree","XRCC6  (ENSCAFG00020001627)Compare Regions (QKWQ01001844.1:8,411,242-8,432,964:-1)View Sequence Alignments","0.20808","84.87 %","84.73 %","75","100.00","Yes"
"Goat (Capra hircus)","1-to-1View Gene Tree","XRCC6  (ENSCHIG00000012853)Compare Regions (5:111,635,792-111,660,925:1)View Sequence Alignments","0.19478","85.50 %","85.22 %","100","100.00","Yes"
"Tarsier (Carlito syrichta)","1-to-1View Gene Tree","XRCC6  (ENSTSYG00000011348)Compare Regions (KE935760.1:5,936-45,156:-1)View Sequence Alignments","0.26629","86.72 %","86.86 %","25","100.00","Yes"
"American beaver (Castor canadensis)","1-to-1View Gene Tree","Xrcc6  (ENSCCNG00000028926)Compare Regions (MTKA01001534.1:334,813-352,435:-1)View Sequence Alignments","0.29452","78.47 %","64.04 %","0","83.14","Yes"
