"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-1View Gene Tree","kpnb1  (ENSAPOG00000020572)Compare Regions (MVNR01001919.1:70,649-87,730:1)View Sequence Alignments","n/a","92.92 %","92.92 %","0","94.03","Yes"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","KPNB1  (ENSAMEG00000004613)Compare Regions (GL192497.1:1,072,555-1,094,391:1)View Sequence Alignments","0.01365","99.17 %","95.55 %","75","98.96","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-1View Gene Tree","kpnb1  (ENSACIG00000023130)Compare Regions (CCOE01000786.1:193,427-202,646:-1)View Sequence Alignments","n/a","92.65 %","90.64 %","0","99.24","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-1View Gene Tree","kpnb1  (ENSAOCG00000007048)Compare Regions (NXFZ01006211.1:71,945-91,372:1)View Sequence Alignments","n/a","92.92 %","92.92 %","0","93.94","Yes"
"Orange clownfish (Amphiprion percula)","1-to-1View Gene Tree","kpnb1  (ENSAPEG00000008270)Compare Regions (14:27,488,120-27,507,186:1)View Sequence Alignments","n/a","92.92 %","92.92 %","0","93.97","Yes"
"Climbing perch (Anabas testudineus)","1-to-1View Gene Tree","kpnb1  (ENSATEG00000015139)Compare Regions (OOHO01000019.1:21,290,647-21,305,996:1)View Sequence Alignments","n/a","92.35 %","92.35 %","0","99.96","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-1View Gene Tree","KPNB1  (ENSAPLG00000010177)Compare Regions (28:3,400,661-3,421,473:-1)View Sequence Alignments","n/a","91.29 %","94.52 %","25","95.08","Yes"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","KPNB1  (ENSACAG00000007097)Compare Regions (6:74,188,491-74,226,390:1)View Sequence Alignments","n/a","97.15 %","97.15 %","75","100.00","Yes"
"Pink-footed goose (Anser brachyrhynchus)","1-to-1View Gene Tree","KPNB1  (ENSABRG00000005878)Compare Regions (NXHY01000337.1:438,860-460,274:1)View Sequence Alignments","n/a","94.97 %","94.86 %","50","96.89","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-manyView Gene Tree","ENSANAG00000024932Compare Regions (KZ199231.1:2,871,983-2,902,676:1)View Sequence Alignments","0.09613","98.73 %","97.26 %","75","99.99","Yes"
