"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-1View Gene Tree","UBE2O  (ENSAPOG00000011248)Compare Regions (MVNR01000733.1:278,110-301,326:-1)View Sequence Alignments","n/a","62.74 %","57.35 %","25","83.43","Yes"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","UBE2O  (ENSAMEG00000010307)Compare Regions (GL192703.1:1,400,985-1,413,222:-1)View Sequence Alignments","0.04076","95.76 %","85.68 %","100","95.54","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-1View Gene Tree","UBE2O  (ENSACIG00000007302)Compare Regions (CCOE01001521.1:187,788-199,902:1)View Sequence Alignments","n/a","65.68 %","46.21 %","75","72.28","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-1View Gene Tree","UBE2O  (ENSAOCG00000010629)Compare Regions (NXFZ01006322.1:1,383,623-1,426,834:-1)View Sequence Alignments","n/a","66.58 %","62.00 %","75","89.82","Yes"
"Orange clownfish (Amphiprion percula)","1-to-1View Gene Tree","UBE2O  (ENSAPEG00000002412)Compare Regions (3:32,314,034-32,356,291:-1)View Sequence Alignments","n/a","66.88 %","64.09 %","75","90.03","Yes"
"Climbing perch (Anabas testudineus)","1-to-1View Gene Tree","UBE2O  (ENSATEG00000005412)Compare Regions (OOHO01000002.1:16,210,095-16,244,092:-1)View Sequence Alignments","n/a","61.10 %","65.63 %","75","85.32","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-1View Gene Tree","UBE2O  (ENSAPLG00000001208)Compare Regions (19:4,242,009-4,297,709:-1)View Sequence Alignments","n/a","75.50 %","78.25 %","100","99.28","Yes"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","UBE2O  (ENSACAG00000008318)Compare Regions (2:112,189,610-112,286,050:1)View Sequence Alignments","n/a","72.55 %","74.46 %","100","96.74","Yes"
"Pink-footed goose (Anser brachyrhynchus)","1-to-1View Gene Tree","UBE2O  (ENSABRG00000018915)Compare Regions (NXHY01000035.1:3,069,411-3,129,267:-1)View Sequence Alignments","n/a","75.28 %","78.02 %","100","100.00","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","UBE2O  (ENSANAG00000000423)Compare Regions (KZ199586.1:11,859,683-11,922,513:-1)View Sequence Alignments","0.04768","98.15 %","98.37 %","100","100.00","Yes"
"Great spotted kiwi (Apteryx haastii)","1-to-1View Gene Tree","UBE2O  (ENSAHAG00000005461)Compare Regions (PTFD01000859.1:283,387-350,304:1)View Sequence Alignments","n/a","76.50 %","70.82 %","75","91.95","Yes"
"Little spotted kiwi (Apteryx owenii)","1-to-1View Gene Tree","UBE2O  (ENSAOWG00000011600)Compare Regions (PTFC01000005.1:1,429,146-1,496,081:1)View Sequence Alignments","n/a","76.57 %","70.82 %","100","92.00","Yes"
"Okarito brown kiwi (Apteryx rowi)","1-to-1View Gene Tree","UBE2O  (ENSARWG00000005800)Compare Regions (PTFB01000087.1:307,392-337,469:1)View Sequence Alignments","n/a","76.57 %","70.82 %","100","92.04","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-1View Gene Tree","UBE2O  (ENSACLG00000003484)Compare Regions (6:14,550,502-14,599,562:1)View Sequence Alignments","n/a","61.31 %","65.87 %","75","87.38","Yes"
"Mexican tetra (Astyanax mexicanus)","1-to-1View Gene Tree","UBE2O  (ENSAMXG00000015772)Compare Regions (13:25,342,497-25,393,171:1)View Sequence Alignments","n/a","61.53 %","64.86 %","75","88.91","Yes"
"American bison (Bison bison bison)","1-to-1View Gene Tree","UBE2O  (ENSBBBG00000005143)Compare Regions (KN265086.1:8,023,593-8,039,439:-1)View Sequence Alignments","0.05215","92.49 %","85.76 %","100","95.71","Yes"
"Wild yak (Bos mutus)","1-to-1View Gene Tree","UBE2O  (ENSBMUG00000010728)Compare Regions (JH883081.1:200,498-249,654:-1)View Sequence Alignments","n/a","87.51 %","87.31 %","75","100.00","Yes"
"Cow (Bos taurus)","1-to-1View Gene Tree","UBE2O  (ENSBTAG00000020115)Compare Regions (19:55,299,835-55,349,164:1)View Sequence Alignments","0.03636","94.79 %","94.43 %","100","100.00","Yes"
"Ruff (Calidris pugnax)","1-to-1View Gene Tree","UBE2O  (ENSCPUG00000003993)Compare Regions (KQ482101.1:5,863,464-5,943,856:-1)View Sequence Alignments","n/a","76.74 %","76.08 %","100","97.44","Yes"
