"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-manyView Gene Tree","psmd4a  (ENSAPOG00000002664)Compare Regions (MVNR01002201.1:72,798-80,047:1)View Sequence Alignments","n/a","87.10 %","85.26 %","25","94.87","Yes"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-manyView Gene Tree","psmd4b  (ENSAPOG00000023778)Compare Regions (MVNR01000243.1:506,747-514,948:1)View Sequence Alignments","n/a","82.93 %","81.84 %","25","n/a","No"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","PSMD4  (ENSAMEG00000000738)Compare Regions (GL192667.1:684,155-693,342:-1)View Sequence Alignments","0.00987","99.20 %","98.42 %","100","100.00","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-manyView Gene Tree","psmd4a  (ENSACIG00000003403)Compare Regions (CCOE01000405.1:375,077-381,887:1)View Sequence Alignments","n/a","86.83 %","85.00 %","25","94.83","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-manyView Gene Tree","psmd4b  (ENSACIG00000011041)Compare Regions (CCOE01000370.1:543,783-553,423:-1)View Sequence Alignments","n/a","82.16 %","80.00 %","50","n/a","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-manyView Gene Tree","psmd4b  (ENSAOCG00000000529)Compare Regions (NXFZ01006202.1:72,199-83,458:1)View Sequence Alignments","n/a","83.20 %","82.11 %","25","2.38","No"
"Clown anemonefish (Amphiprion ocellaris)","1-to-manyView Gene Tree","psmd4a  (ENSAOCG00000021788)Compare Regions (NXFZ01006373.1:67,245-74,671:-1)View Sequence Alignments","n/a","86.83 %","85.00 %","25","92.63","Yes"
"Orange clownfish (Amphiprion percula)","1-to-manyView Gene Tree","psmd4b  (ENSAPEG00000003043)Compare Regions (7:34,840,494-34,847,488:1)View Sequence Alignments","n/a","82.93 %","81.84 %","50","2.41","Yes"
"Orange clownfish (Amphiprion percula)","1-to-manyView Gene Tree","psmd4a  (ENSAPEG00000007908)Compare Regions (17:5,480,745-5,488,266:1)View Sequence Alignments","n/a","87.10 %","85.26 %","25","92.65","Yes"
"Climbing perch (Anabas testudineus)","1-to-manyView Gene Tree","psmd4a  (ENSATEG00000010117)Compare Regions (OOHO01000017.1:31,664,397-31,668,817:-1)View Sequence Alignments","n/a","86.83 %","85.00 %","25","97.83","Yes"
"Climbing perch (Anabas testudineus)","1-to-manyView Gene Tree","psmd4b  (ENSATEG00000023903)Compare Regions (OOHO01000006.1:31,048,836-31,053,099:-1)View Sequence Alignments","n/a","82.40 %","81.32 %","50","2.75","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-1View Gene Tree","PSMD4  (ENSAPLG00000002002)Compare Regions (PEDO01013696.1:463-3,464:-1)View Sequence Alignments","n/a","88.92 %","80.26 %","0","91.54","Yes"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","PSMD4  (ENSACAG00000014935)Compare Regions (GL343668.1:21-14,162:-1)View Sequence Alignments","n/a","89.86 %","65.26 %","50","76.95","Yes"
"Pink-footed goose (Anser brachyrhynchus)","1-to-1View Gene Tree","PSMD4  (ENSABRG00000008769)Compare Regions (NXHY01000367.1:183,803-189,479:1)View Sequence Alignments","n/a","94.41 %","93.42 %","100","100.00","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","PSMD4  (ENSANAG00000023868)Compare Regions (KZ201976.1:1,367,603-1,380,455:1)View Sequence Alignments","0.42891","92.63 %","86.05 %","100","97.63","Yes"
"Great spotted kiwi (Apteryx haastii)","1-to-1View Gene Tree","PSMD4  (ENSAHAG00000007002)Compare Regions (PTFD01000733.1:60,284-69,976:1)View Sequence Alignments","n/a","94.68 %","93.68 %","100","99.79","Yes"
"Little spotted kiwi (Apteryx owenii)","1-to-1View Gene Tree","PSMD4  (ENSAOWG00000010813)Compare Regions (PTFC01000655.1:440,294-451,258:-1)View Sequence Alignments","n/a","70.17 %","77.37 %","100","92.03","Yes"
"Okarito brown kiwi (Apteryx rowi)","1-to-1View Gene Tree","PSMD4  (ENSARWG00000004733)Compare Regions (PTFB01000611.1:95,945-105,865:1)View Sequence Alignments","n/a","94.68 %","93.68 %","100","99.79","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-manyView Gene Tree","psmd4a  (ENSACLG00000010267)Compare Regions (22:12,484,827-12,490,748:-1)View Sequence Alignments","n/a","84.08 %","83.42 %","50","97.26","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-manyView Gene Tree","psmd4b  (ENSACLG00000017855)Compare Regions (11:20,069,975-20,079,519:1)View Sequence Alignments","n/a","81.87 %","80.79 %","50","2.50","Yes"
"Mexican tetra (Astyanax mexicanus)","1-to-1View Gene Tree","psmd4a  (ENSAMXG00000043375)Compare Regions (APWO02000060.1:36,731-49,457:1)View Sequence Alignments","n/a","86.86 %","85.26 %","25","94.49","Yes"
"American bison (Bison bison bison)","1-to-1View Gene Tree","PSMD4  (ENSBBBG00000002695)Compare Regions (KN265096.1:2,575,886-2,584,988:-1)View Sequence Alignments","0.04764","96.85 %","97.11 %","100","100.00","Yes"
"Wild yak (Bos mutus)","1-to-1View Gene Tree","PSMD4  (ENSBMUG00000024327)Compare Regions (JH881048.1:1,169,145-1,178,317:1)View Sequence Alignments","0.01337","98.94 %","98.16 %","100","100.00","Yes"
"Cow (Bos taurus)","1-to-1View Gene Tree","PSMD4  (ENSBTAG00000006101)Compare Regions (3:19,555,183-19,565,649:-1)View Sequence Alignments","0.01020","83.63 %","98.16 %","100","95.90","Yes"
"Caenorhabditis elegans (Caenorhabditis elegans)","1-to-1View Gene Tree","rpn-10  (WBGene00004466)Compare Regions (I:10,730,712-10,732,448:-1)View Sequence Alignments","n/a","49.42 %","45.00 %","n/a","n/a","Yes"
"Ruff (Calidris pugnax)","1-to-1View Gene Tree","PSMD4  (ENSCPUG00000011592)Compare Regions (KQ482560.1:276,490-284,651:-1)View Sequence Alignments","n/a","94.46 %","89.74 %","100","98.90","Yes"
