"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-1View Gene Tree","psma3  (ENSAPOG00000018846)Compare Regions (MVNR01000308.1:305,523-315,198:-1)View Sequence Alignments","n/a","89.02 %","89.02 %","50","91.51","Yes"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","PSMA3  (ENSAMEG00000002498)Compare Regions (GL192352.1:1,519,892-1,538,953:1)View Sequence Alignments","0.02038","98.82 %","98.82 %","100","100.00","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-1View Gene Tree","psma3  (ENSACIG00000021909)Compare Regions (CCOE01000473.1:170,721-183,966:1)View Sequence Alignments","n/a","89.80 %","89.80 %","25","97.37","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-1View Gene Tree","psma3  (ENSAOCG00000004830)Compare Regions (NXFZ01004422.1:17,778-30,956:1)View Sequence Alignments","n/a","89.41 %","89.41 %","50","91.50","Yes"
"Orange clownfish (Amphiprion percula)","1-to-1View Gene Tree","psma3  (ENSAPEG00000001270)Compare Regions (18:17,194,017-17,207,214:1)View Sequence Alignments","n/a","89.41 %","89.41 %","0","91.49","Yes"
"Climbing perch (Anabas testudineus)","1-to-1View Gene Tree","psma3  (ENSATEG00000014448)Compare Regions (OOHO01000007.1:535,267-542,434:-1)View Sequence Alignments","n/a","89.80 %","89.80 %","25","97.35","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-1View Gene Tree","PSMA3  (ENSAPLG00000015841)Compare Regions (5:59,384,168-59,395,404:-1)View Sequence Alignments","n/a","96.08 %","96.08 %","100","97.33","Yes"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","PSMA3  (ENSACAG00000014541)Compare Regions (GL343459.1:302,942-322,220:1)View Sequence Alignments","n/a","94.51 %","94.51 %","50","97.36","Yes"
"Pink-footed goose (Anser brachyrhynchus)","1-to-1View Gene Tree","PSMA3  (ENSABRG00000013193)Compare Regions (NXHY01000057.1:3,904,040-3,915,269:1)View Sequence Alignments","n/a","96.08 %","96.08 %","100","97.36","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","PSMA3  (ENSANAG00000034210)Compare Regions (KZ196050.1:7,286,232-7,311,792:1)View Sequence Alignments","0.02071","99.61 %","99.61 %","100","100.00","Yes"
"Great spotted kiwi (Apteryx haastii)","1-to-1View Gene Tree","PSMA3  (ENSAHAG00000017095)Compare Regions (PTFD01000336.1:397,219-411,253:-1)View Sequence Alignments","n/a","96.47 %","96.47 %","100","100.00","Yes"
"Little spotted kiwi (Apteryx owenii)","1-to-1View Gene Tree","PSMA3  (ENSAOWG00000007980)Compare Regions (PTFC01000073.1:2,324,303-2,338,658:1)View Sequence Alignments","n/a","96.47 %","96.47 %","100","100.00","Yes"
"Okarito brown kiwi (Apteryx rowi)","1-to-1View Gene Tree","PSMA3  (ENSARWG00000008089)Compare Regions (PTFB01000014.1:6,048,567-6,064,072:1)View Sequence Alignments","n/a","94.16 %","94.90 %","100","96.99","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-1View Gene Tree","psma3  (ENSACLG00000005801)Compare Regions (19:29,501,470-29,515,484:1)View Sequence Alignments","n/a","89.41 %","89.41 %","25","91.53","Yes"
"Mexican tetra (Astyanax mexicanus)","1-to-1View Gene Tree","psma3  (ENSAMXG00000000426)Compare Regions (9:23,909,851-23,924,210:-1)View Sequence Alignments","n/a","88.63 %","88.63 %","25","94.28","Yes"
"American bison (Bison bison bison)","1-to-1View Gene Tree","PSMA3  (ENSBBBG00000020117)Compare Regions (KN264969.1:4,507,657-4,532,944:-1)View Sequence Alignments","0.01733","98.82 %","98.82 %","100","100.00","Yes"
"Wild yak (Bos mutus)","1-to-1View Gene Tree","PSMA3  (ENSBMUG00000001636)Compare Regions (JH881691.1:1,119,325-1,144,944:-1)View Sequence Alignments","0.01734","98.82 %","98.82 %","100","100.00","Yes"
"Cow (Bos taurus)","1-to-1View Gene Tree","PSMA3  (ENSBTAG00000002808)Compare Regions (10:70,551,104-70,576,344:1)View Sequence Alignments","0.01734","98.82 %","98.82 %","100","100.00","Yes"
