"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-manyView Gene Tree","MDH1 (1 of many)  (ENSAPOG00000005335)Compare Regions (MVNR01000067.1:606,661-614,081:-1)View Sequence Alignments","n/a","77.78 %","73.58 %","75","95.85","Yes"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-manyView Gene Tree","mdh1aa  (ENSAPOG00000021897)Compare Regions (MVNR01000958.1:136,579-157,543:-1)View Sequence Alignments","n/a","74.00 %","73.58 %","50","n/a","Yes"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","MDH1  (ENSAMEG00000005414)Compare Regions (GL192863.1:9,803-22,739:-1)View Sequence Alignments","0.20618","92.24 %","91.19 %","50","98.92","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-manyView Gene Tree","mdh1aa  (ENSACIG00000009768)Compare Regions (CCOE01001565.1:7,489-12,867:1)View Sequence Alignments","n/a","77.84 %","73.86 %","50","95.17","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-manyView Gene Tree","MDH1 (1 of many)  (ENSACIG00000012929)Compare Regions (CCOE01000287.1:7,331,978-7,339,685:-1)View Sequence Alignments","n/a","75.95 %","73.58 %","100","n/a","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-manyView Gene Tree","MDH1  (ENSAOCG00000000293)Compare Regions (NXFZ01004402.1:22,599-31,337:1)View Sequence Alignments","n/a","77.18 %","73.01 %","25","95.85","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-manyView Gene Tree","mdh1aa  (ENSAOCG00000015416)Compare Regions (NXFZ01004091.1:140,856-159,734:1)View Sequence Alignments","n/a","74.00 %","73.58 %","25","1.08","No"
"Orange clownfish (Amphiprion percula)","1-to-manyView Gene Tree","mdh1aa  (ENSAPEG00000007003)Compare Regions (3:18,587,943-18,606,380:1)View Sequence Alignments","n/a","74.00 %","73.58 %","50","0.63","Yes"
"Orange clownfish (Amphiprion percula)","1-to-manyView Gene Tree","MDH1 (1 of many)  (ENSAPEG00000023690)Compare Regions (20:511,528-519,942:1)View Sequence Alignments","n/a","77.18 %","73.01 %","75","95.85","Yes"
"Climbing perch (Anabas testudineus)","1-to-manyView Gene Tree","MDH1 (1 of many)  (ENSATEG00000013346)Compare Regions (OOHO01000014.1:17,372,836-17,381,591:-1)View Sequence Alignments","n/a","78.68 %","74.43 %","100","n/a","Yes"
"Climbing perch (Anabas testudineus)","1-to-manyView Gene Tree","mdh1aa  (ENSATEG00000019629)Compare Regions (OOHO01000002.1:1,690,291-1,703,198:-1)View Sequence Alignments","n/a","74.57 %","74.15 %","50","92.58","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-1View Gene Tree","MDH1  (ENSAPLG00000009983)Compare Regions (3:10,839,080-10,850,036:-1)View Sequence Alignments","n/a","90.12 %","85.51 %","100","97.22","Yes"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","MDH1  (ENSACAG00000005865)Compare Regions (1:120,622,583-120,638,822:-1)View Sequence Alignments","n/a","88.32 %","83.81 %","100","97.26","Yes"
"Pink-footed goose (Anser brachyrhynchus)","1-to-1View Gene Tree","MDH1  (ENSABRG00000007583)Compare Regions (NXHY01000180.1:1,500,128-1,511,211:1)View Sequence Alignments","n/a","90.12 %","85.51 %","100","97.22","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","MDH1  (ENSANAG00000038114)Compare Regions (KZ200915.1:11,387,806-11,405,744:1)View Sequence Alignments","0.14856","97.73 %","97.73 %","100","100.00","Yes"
"Great spotted kiwi (Apteryx haastii)","1-to-1View Gene Tree","MDH1  (ENSAHAG00000011810)Compare Regions (PTFD01000281.1:415,642-427,625:-1)View Sequence Alignments","n/a","90.12 %","85.51 %","100","97.22","Yes"
"Little spotted kiwi (Apteryx owenii)","1-to-1View Gene Tree","MDH1  (ENSAOWG00000012050)Compare Regions (PTFC01000114.1:2,142,474-2,154,672:-1)View Sequence Alignments","n/a","90.12 %","85.51 %","100","97.22","Yes"
"Okarito brown kiwi (Apteryx rowi)","1-to-1View Gene Tree","MDH1  (ENSARWG00000006027)Compare Regions (PTFB01000054.1:2,151,834-2,165,438:-1)View Sequence Alignments","n/a","90.12 %","85.51 %","100","97.22","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-manyView Gene Tree","mdh1aa  (ENSACLG00000014364)Compare Regions (6:37,245,586-37,256,816:-1)View Sequence Alignments","n/a","79.34 %","75.28 %","50","0.95","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-manyView Gene Tree","MDH1 (1 of many)  (ENSACLG00000026557)Compare Regions (13:23,896,115-23,903,151:-1)View Sequence Alignments","n/a","63.02 %","73.58 %","100","86.20","Yes"
"Mexican tetra (Astyanax mexicanus)","1-to-manyView Gene Tree","mdh1aa (1 of many)  (ENSAMXG00000002785)Compare Regions (12:3,793,552-3,805,668:-1)View Sequence Alignments","n/a","78.43 %","68.18 %","25","79.26","Yes"
"Mexican tetra (Astyanax mexicanus)","1-to-manyView Gene Tree","mdh1aa (1 of many)  (ENSAMXG00000032817)Compare Regions (APWO02001960.1:7,382-27,314:1)View Sequence Alignments","n/a","76.00 %","75.57 %","0","18.64","No"
"Mexican tetra (Astyanax mexicanus)","1-to-manyView Gene Tree","MDH1 (1 of many)  (ENSAMXG00000040846)Compare Regions (9:15,007,173-15,023,337:-1)View Sequence Alignments","n/a","76.88 %","72.73 %","100","n/a","Yes"
"American bison (Bison bison bison)","1-to-1View Gene Tree","MDH1  (ENSBBBG00000015910)Compare Regions (KN265183.1:9,357,671-9,381,230:1)View Sequence Alignments","0.12242","95.21 %","90.34 %","100","100.00","Yes"
"Wild yak (Bos mutus)","1-to-1View Gene Tree","MDH1  (ENSBMUG00000022250)Compare Regions (JH881751.1:583,460-608,398:-1)View Sequence Alignments","0.11557","95.21 %","90.34 %","75","100.00","Yes"
"Cow (Bos taurus)","1-to-1View Gene Tree","MDH1  (ENSBTAG00000019295)Compare Regions (11:62,022,816-62,047,723:1)View Sequence Alignments","0.12195","95.21 %","90.34 %","100","100.00","Yes"
"Caenorhabditis elegans (Caenorhabditis elegans)","1-to-manyView Gene Tree","mdh-1  (WBGene00018491)Compare Regions (V:6,515,276-6,516,526:-1)View Sequence Alignments","n/a","59.52 %","56.82 %","n/a","n/a","Yes"
"Ruff (Calidris pugnax)","1-to-1View Gene Tree","MDH1  (ENSCPUG00000002904)Compare Regions (KQ483354.1:2,276,464-2,289,407:-1)View Sequence Alignments","n/a","88.32 %","83.81 %","100","97.21","Yes"
"Spoon-billed sandpiper (Calidris pygmaea)","1-to-1View Gene Tree","MDH1  (ENSCPGG00000017226)Compare Regions (QJSC01024040.1:5,016-14,982:1)View Sequence Alignments","n/a","88.06 %","83.81 %","50","81.35","Yes"
"Marmoset (Callithrix jacchus)","1-to-manyView Gene Tree","ENSCJAG00000007018Compare Regions (NTIC01005557.1:44,242,660-44,263,987:-1)View Sequence Alignments","0.28296","94.89 %","94.89 %","100","100.00","Yes"
"Marmoset (Callithrix jacchus)","1-to-manyView Gene Tree","ENSCJAG00000021865Compare Regions (NTIC01001113.1:113,635,511-113,636,761:1)View Sequence Alignments","0.19362","96.68 %","74.43 %","0","n/a","No"
"Dog (Canis lupus familiaris)","1-to-1View Gene Tree","MDH1  (ENSCAFG00000003129)Compare Regions (10:63,322,248-63,334,761:1)View Sequence Alignments","0.20792","92.24 %","91.19 %","100","99.49","Yes"
"Dingo (Canis lupus dingo)","1-to-1View Gene Tree","MDH1  (ENSCAFG00020026933)Compare Regions (QKWQ01001844.1:48,426,315-48,444,299:1)View Sequence Alignments","0.13819","94.91 %","90.06 %","100","100.00","Yes"
"Goat (Capra hircus)","1-to-manyView Gene Tree","ENSCHIG00000015525Compare Regions (11:61,731,326-61,754,993:1)View Sequence Alignments","0.11477","95.21 %","90.34 %","100","100.00","Yes"
"Goat (Capra hircus)","1-to-manyView Gene Tree","ENSCHIG00000022651Compare Regions (12:58,243,490-58,244,485:-1)View Sequence Alignments","0.38162","75.09 %","59.09 %","0","n/a","No"
"Tarsier (Carlito syrichta)","1-to-manyView Gene Tree","MDH1  (ENSTSYG00000001215)Compare Regions (KE940236.1:234,980-252,395:1)View Sequence Alignments","0.25902","92.31 %","92.05 %","25","100.00","Yes"
"Tarsier (Carlito syrichta)","1-to-manyView Gene Tree","ENSTSYG00000027021Compare Regions (KE931717.1:332,723-334,647:-1)View Sequence Alignments","0.19126","94.15 %","86.93 %","0","n/a","No"
"Tarsier (Carlito syrichta)","1-to-manyView Gene Tree","ENSTSYG00000036992Compare Regions (KE948843.1:607,739-608,726:-1)View Sequence Alignments","0.89948","81.98 %","65.91 %","0","n/a","No"
"American beaver (Castor canadensis)","1-to-manyView Gene Tree","Mdh1  (ENSCCNG00000010856)Compare Regions (MTKA01000991.1:2,793,776-2,805,209:-1)View Sequence Alignments","0.19860","88.82 %","78.98 %","50","98.51","Yes"
"American beaver (Castor canadensis)","1-to-manyView Gene Tree","ENSCCNG00000021623Compare Regions (MTKA01001350.1:5,947-9,304:-1)View Sequence Alignments","n/a","48.91 %","25.57 %","0","n/a","No"
"Brazilian guinea pig (Cavia aperea)","1-to-1View Gene Tree","MDH1  (ENSCAPG00000015656)Compare Regions (AVPZ01000433.1:1,734,920-1,744,622:-1)View Sequence Alignments","0.17535","91.82 %","82.95 %","100","95.30","Yes"
"Guinea Pig (Cavia porcellus)","1-to-1View Gene Tree","MDH1  (ENSCPOG00000010755)Compare Regions (DS562903.1:1,735,368-1,751,083:-1)View Sequence Alignments","0.12967","95.22 %","90.62 %","100","100.00","Yes"
"Capuchin (Cebus capucinus imitator)","1-to-1View Gene Tree","MDH1  (ENSCCAG00000032985)Compare Regions (KV389449.1:9,979,059-10,000,914:-1)View Sequence Alignments","0.12112","97.67 %","95.17 %","100","100.00","Yes"
"Sooty mangabey (Cercocebus atys)","1-to-1View Gene Tree","MDH1  (ENSCATG00000030537)Compare Regions (KQ012397.1:10,543,081-10,561,828:1)View Sequence Alignments","0.13824","98.16 %","75.57 %","100","98.77","Yes"
"Abingdon island giant tortoise (Chelonoidis abingdonii)","1-to-1View Gene Tree","MDH1  (ENSCABG00000009857)Compare Regions (PKMU01006856.1:1,515,093-1,537,182:1)View Sequence Alignments","n/a","90.42 %","85.80 %","100","97.36","Yes"
"Long-tailed chinchilla (Chinchilla lanigera)","1-to-1View Gene Tree","MDH1  (ENSCLAG00000007815)Compare Regions (JH721884.1:20,706,058-20,723,493:-1)View Sequence Alignments","0.10745","94.61 %","89.77 %","100","100.00","Yes"
"Vervet-AGM (Chlorocebus sabaeus)","1-to-1View Gene Tree","MDH1  (ENSCSAG00000014691)Compare Regions (14:43,406,499-43,425,095:-1)View Sequence Alignments","0.14508","98.80 %","93.75 %","100","100.00","Yes"
"Sloth (Choloepus hoffmanni)","1-to-1View Gene Tree","MDH1  (ENSCHOG00000007281)Compare Regions (scaffold_22474:5,575-13,926:1)View Sequence Alignments","n/a","92.22 %","87.50 %","0","98.44","Yes"
"Painted turtle (Chrysemys picta bellii)","1-to-1View Gene Tree","MDH1  (ENSCPBG00000013198)Compare Regions (KK083020.1:1,079,628-1,095,217:1)View Sequence Alignments","n/a","87.11 %","86.36 %","100","95.25","Yes"
