"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-1View Gene Tree","hnrnpd  (ENSAPOG00000006184)Compare Regions (MVNR01000325.1:210,204-217,391:-1)View Sequence Alignments","n/a","74.76 %","66.76 %","50","78.58","Yes"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","HNRNPD  (ENSAMEG00000005158)Compare Regions (GL192342.1:1,419,965-1,436,017:1)View Sequence Alignments","0.24764","91.16 %","84.23 %","100","99.37","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-1View Gene Tree","hnrnpd  (ENSACIG00000008353)Compare Regions (CCOE01000797.1:486,765-490,750:-1)View Sequence Alignments","n/a","71.75 %","62.25 %","50","71.66","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-1View Gene Tree","hnrnpd  (ENSAOCG00000014191)Compare Regions (NXFZ01001948.1:633,727-642,523:-1)View Sequence Alignments","n/a","75.08 %","67.04 %","25","78.33","Yes"
"Orange clownfish (Amphiprion percula)","1-to-1View Gene Tree","hnrnpd  (ENSAPEG00000005603)Compare Regions (16:21,605,686-21,617,300:1)View Sequence Alignments","n/a","74.76 %","66.76 %","50","78.11","Yes"
"Climbing perch (Anabas testudineus)","1-to-1View Gene Tree","hnrnpd  (ENSATEG00000007097)Compare Regions (OOHO01000014.1:24,513,803-24,519,981:-1)View Sequence Alignments","n/a","74.13 %","66.20 %","50","80.00","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-1View Gene Tree","HNRNPD  (ENSAPLG00000031205)Compare Regions (4:48,812,203-48,820,264:1)View Sequence Alignments","n/a","60.46 %","59.44 %","25","70.29","Yes"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","HNRNPD  (ENSACAG00000010342)Compare Regions (5:42,878,058-42,883,441:-1)View Sequence Alignments","n/a","94.55 %","68.45 %","100","87.60","Yes"
"Pink-footed goose (Anser brachyrhynchus)","1-to-1View Gene Tree","HNRNPD  (ENSABRG00000015285)Compare Regions (NXHY01000164.1:835,611-840,365:1)View Sequence Alignments","n/a","98.83 %","71.55 %","25","87.72","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","HNRNPD  (ENSANAG00000035221)Compare Regions (KZ197817.1:1,584,791-1,602,912:1)View Sequence Alignments","0.31020","96.34 %","96.34 %","75","100.00","Yes"
"Great spotted kiwi (Apteryx haastii)","1-to-1View Gene Tree","HNRNPD  (ENSAHAG00000007261)Compare Regions (PTFD01000433.1:16,304-21,613:-1)View Sequence Alignments","n/a","99.22 %","71.83 %","50","87.62","Yes"
"Little spotted kiwi (Apteryx owenii)","1-to-1View Gene Tree","HNRNPD  (ENSAOWG00000008651)Compare Regions (PTFC01000280.1:18,182-28,858:-1)View Sequence Alignments","n/a","78.21 %","68.73 %","50","82.71","Yes"
"Okarito brown kiwi (Apteryx rowi)","1-to-1View Gene Tree","HNRNPD  (ENSARWG00000014661)Compare Regions (PTFB01000271.1:1,200,230-1,211,551:1)View Sequence Alignments","n/a","79.42 %","69.58 %","50","83.45","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-manyView Gene Tree","hnrnpd (1 of many)  (ENSACLG00000025213)Compare Regions (7:11,977,441-11,988,980:-1)View Sequence Alignments","n/a","68.02 %","65.92 %","50","n/a","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-manyView Gene Tree","hnrnpd (1 of many)  (ENSACLG00000026497)Compare Regions (LS419926.1:32,283-35,239:-1)View Sequence Alignments","n/a","87.26 %","63.66 %","25","87.11","Yes"
"Mexican tetra (Astyanax mexicanus)","1-to-1View Gene Tree","hnrnpd  (ENSAMXG00000001477)Compare Regions (20:22,493,677-22,499,676:1)View Sequence Alignments","n/a","78.32 %","68.17 %","50","79.28","Yes"
"American bison (Bison bison bison)","1-to-1View Gene Tree","HNRNPD  (ENSBBBG00000022878)Compare Regions (KN264943.1:4,974,663-4,991,248:-1)View Sequence Alignments","0.28076","86.49 %","81.13 %","100","100.00","Yes"
"Wild yak (Bos mutus)","1-to-1View Gene Tree","HNRNPD  (ENSBMUG00000021549)Compare Regions (JH882267.1:880,703-896,607:1)View Sequence Alignments","0.37580","82.61 %","80.28 %","50","100.00","Yes"
"Cow (Bos taurus)","1-to-1View Gene Tree","HNRNPD  (ENSBTAG00000013952)Compare Regions (6:97,143,335-97,160,733:-1)View Sequence Alignments","0.07407","86.35 %","98.03 %","100","100.00","Yes"
"Ruff (Calidris pugnax)","1-to-1View Gene Tree","HNRNPD  (ENSCPUG00000011971)Compare Regions (KQ482237.1:1,133,009-1,144,115:1)View Sequence Alignments","n/a","98.83 %","71.55 %","50","87.47","Yes"
"Spoon-billed sandpiper (Calidris pygmaea)","1-to-1View Gene Tree","HNRNPD  (ENSCPGG00000019165)Compare Regions (QJSC01028986.1:17,990-29,419:-1)View Sequence Alignments","n/a","84.38 %","79.15 %","50","78.06","Yes"
"Marmoset (Callithrix jacchus)","1-to-1View Gene Tree","HNRNPD  (ENSCJAG00000015165)Compare Regions (NTIC01033278.1:85,470,696-85,490,057:1)View Sequence Alignments","0.29865","96.06 %","96.06 %","100","100.00","Yes"
"Dog (Canis lupus familiaris)","1-to-1View Gene Tree","HNRNPD  (ENSCAFG00000025045)Compare Regions (32:6,320,357-6,341,185:-1)View Sequence Alignments","0.04313","99.44 %","99.44 %","50","100.00","Yes"
"Dingo (Canis lupus dingo)","1-to-1View Gene Tree","HNRNPD  (ENSCAFG00020010713)Compare Regions (QKWQ01002043.1:20,347,481-20,363,432:1)View Sequence Alignments","0.04313","99.44 %","99.44 %","100","100.00","Yes"
"Goat (Capra hircus)","1-to-1View Gene Tree","HNRNPD  (ENSCHIG00000022317)Compare Regions (6:97,607,836-97,623,629:-1)View Sequence Alignments","0.07162","98.03 %","98.03 %","100","100.00","Yes"
"Tarsier (Carlito syrichta)","1-to-1View Gene Tree","HNRNPD  (ENSTSYG00000010395)Compare Regions (KE926529.1:196,846-202,258:-1)View Sequence Alignments","n/a","100.00 %","56.90 %","0","83.72","Yes"
"American beaver (Castor canadensis)","1-to-1View Gene Tree","Hnrnpd  (ENSCCNG00000017594)Compare Regions (MTKA01002878.1:113,493-129,082:1)View Sequence Alignments","0.09469","98.59 %","98.31 %","50","100.00","Yes"
"Guinea Pig (Cavia porcellus)","1-to-1View Gene Tree","HNRNPD  (ENSCPOG00000040484)Compare Regions (DS562860.1:6,457,493-6,471,228:-1)View Sequence Alignments","0.33994","83.07 %","73.24 %","100","97.31","Yes"
"Capuchin (Cebus capucinus imitator)","1-to-1View Gene Tree","HNRNPD  (ENSCCAG00000024528)Compare Regions (KV389490.1:2,410,908-2,431,205:-1)View Sequence Alignments","0.56461","96.62 %","96.62 %","100","100.00","Yes"
"Sooty mangabey (Cercocebus atys)","1-to-1View Gene Tree","HNRNPD  (ENSCATG00000039829)Compare Regions (KQ012419.1:10,729,197-10,750,986:1)View Sequence Alignments","n/a","100.00 %","100.00 %","100","100.00","Yes"
"Abingdon island giant tortoise (Chelonoidis abingdonii)","1-to-1View Gene Tree","HNRNPD  (ENSCABG00000004380)Compare Regions (PKMU01003745.1:1,735,554-1,768,862:-1)View Sequence Alignments","n/a","55.15 %","60.28 %","100","100.00","Yes"
