,Species,gene,dN,dS,dN/dS
0,Monodelphis_domestica,ENSG00000007923_DNAJC11,0.010701,0.178932,0.0598061
1,Sarcophilus_harrisii,ENSG00000007923_DNAJC11,0.008238,0.258498,0.0318694
2,Phascolarctos_cinereus,ENSG00000007923_DNAJC11,0.013015,0.087910,0.148054
3,Erinaceus_europaeus,ENSG00000007923_DNAJC11,0.027544,0.327525,0.0840978
4,Condylura_cristata,ENSG00000007923_DNAJC11,0.012246,0.596560,0.0205269
5,Panthera_tigris,ENSG00000007923_DNAJC11,0.002552,0.000003,999
6,Panthera_pardus,ENSG00000007923_DNAJC11,0.000001,0.007810,0.0001
7,Felis_catus,ENSG00000007923_DNAJC11,0.000002,0.021652,0.0001
8,Acinonyx_jubatus,ENSG00000007923_DNAJC11,0.006592,0.009038,0.729439
9,Enhydra_lutris,ENSG00000007923_DNAJC11,0.000004,0.043549,0.0001
10,Mustela_putorius,ENSG00000007923_DNAJC11,0.000003,0.026937,0.0001
11,Odobenus_rosmarus,ENSG00000007923_DNAJC11,0.000855,0.026953,0.0317358
12,Leptonychotes_weddellii,ENSG00000007923_DNAJC11,0.000978,0.050119,0.0195085
13,Ailuropoda_melanoleuca,ENSG00000007923_DNAJC11,0.002549,0.057939,0.0439928
14,Ursus_maritimus,ENSG00000007923_DNAJC11,0.001870,0.024648,0.075864
15,Manis_javanica,ENSG00000007923_DNAJC11,0.011606,0.174584,0.066476
16,Equus_caballus,ENSG00000007923_DNAJC11,0.000002,0.000000,4.36183
17,Equus_przewalskii,ENSG00000007923_DNAJC11,0.001668,0.000002,999
18,Equus_asinus,ENSG00000007923_DNAJC11,0.000000,0.004759,0.0001
19,Ceratotherium_simum,ENSG00000007923_DNAJC11,0.000838,0.061116,0.0137094
20,Vicugna_pacos,ENSG00000007923_DNAJC11,0.009374,0.001794,5.22639
21,Camelus_dromedarius,ENSG00000007923_DNAJC11,0.000000,0.000005,0.0001
22,Camelus_ferus,ENSG00000007923_DNAJC11,0.000000,0.002681,0.0001
23,Camelus_bactrianus,ENSG00000007923_DNAJC11,0.000000,0.000005,0.0001
24,Balaenoptera_acutorostrata,ENSG00000007923_DNAJC11,0.002398,0.014091,0.170199
25,Physeter_catodon,ENSG00000007923_DNAJC11,0.003172,0.015645,0.202749
26,Lipotes_vexillifer,ENSG00000007923_DNAJC11,0.000795,0.029613,0.0268575
27,Delphinapterus_leucas,ENSG00000007923_DNAJC11,0.000001,0.010291,0.0001
28,Tursiops_truncatus,ENSG00000007923_DNAJC11,0.000001,0.012157,0.0001
29,Orcinus_orca,ENSG00000007923_DNAJC11,0.000001,0.005295,0.0001
30,Bubalus_bubalis,ENSG00000007923_DNAJC11,0.000003,0.029523,0.0001
31,Bos_taurus,ENSG00000007923_DNAJC11,0.000000,0.000005,0.0001
32,Bos_indicus,ENSG00000007923_DNAJC11,0.000000,0.004976,0.0001
33,Bos_mutus,ENSG00000007923_DNAJC11,0.000001,0.008832,0.0001
34,Bison_bison,ENSG00000007923_DNAJC11,0.000001,0.007442,0.0001
35,Capra_hircus,ENSG00000007923_DNAJC11,0.000001,0.010059,0.0001
36,Ovis_aries,ENSG00000007923_DNAJC11,0.000912,0.021665,0.0420974
37,Pantholops_hodgsonii,ENSG00000007923_DNAJC11,0.000002,0.022406,0.0001
38,Odocoileus_virginianus,ENSG00000007923_DNAJC11,0.001396,0.075246,0.0185492
