"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-manyView Gene Tree","cicb  (ENSAPOG00000006774)Compare Regions (MVNR01001060.1:57,813-71,376:-1)View Sequence Alignments","n/a","46.57 %","36.32 %","25","37.68","No"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-manyView Gene Tree","cica  (ENSAPOG00000021480)Compare Regions (MVNR01000305.1:469,419-524,513:1)View Sequence Alignments","n/a","23.30 %","34.51 %","25","13.49","No"
"Midas cichlid (Amphilophus citrinellus)","1-to-manyView Gene Tree","cicb  (ENSACIG00000014222)Compare Regions (CCOE01001526.1:1,432,787-1,447,848:1)View Sequence Alignments","n/a","47.42 %","35.95 %","25","40.45","No"
"Midas cichlid (Amphilophus citrinellus)","1-to-manyView Gene Tree","ENSACIG00000023413Compare Regions (CCOE01001643.1:377,341-378,739:-1)View Sequence Alignments","n/a","59.57 %","5.22 %","25","n/a","No"
"Clown anemonefish (Amphiprion ocellaris)","1-to-manyView Gene Tree","cica  (ENSAOCG00000003908)Compare Regions (NXFZ01006225.1:42,546-97,957:-1)View Sequence Alignments","n/a","23.16 %","34.20 %","25","15.83","No"
"Clown anemonefish (Amphiprion ocellaris)","1-to-manyView Gene Tree","cicb  (ENSAOCG00000013637)Compare Regions (NXFZ01002846.1:178,427-217,349:-1)View Sequence Alignments","n/a","25.42 %","43.10 %","25","36.72","No"
"Orange clownfish (Amphiprion percula)","1-to-manyView Gene Tree","cicb  (ENSAPEG00000010171)Compare Regions (7:22,370,906-22,385,443:-1)View Sequence Alignments","n/a","46.79 %","36.32 %","25","44.04","No"
"Orange clownfish (Amphiprion percula)","1-to-manyView Gene Tree","cica  (ENSAPEG00000015275)Compare Regions (17:28,956,596-29,008,652:1)View Sequence Alignments","n/a","23.39 %","36.26 %","25","15.19","No"
"Climbing perch (Anabas testudineus)","1-to-manyView Gene Tree","cica  (ENSATEG00000000778)Compare Regions (OOHO01000017.1:27,298,600-27,327,689:1)View Sequence Alignments","n/a","19.13 %","26.00 %","25","15.13","No"
"Climbing perch (Anabas testudineus)","1-to-manyView Gene Tree","cicb  (ENSATEG00000019726)Compare Regions (OOHO01000006.1:28,578,023-28,586,662:-1)View Sequence Alignments","n/a","46.02 %","34.89 %","25","36.90","No"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","ENSACAG00000010796Compare Regions (AAWZ02040460:2,022-6,141:-1)View Sequence Alignments","n/a","2.20 %","1.24 %","0","54.20","No"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","CIC  (ENSANAG00000025026)Compare Regions (KZ199075.1:390,775-414,863:-1)View Sequence Alignments","0.11004","62.35 %","97.51 %","100","100.00","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-manyView Gene Tree","cica  (ENSACLG00000020966)Compare Regions (22:6,121,257-6,164,980:1)View Sequence Alignments","n/a","23.86 %","30.97 %","25","13.70","No"
"Eastern happy (Astatotilapia calliptera)","1-to-manyView Gene Tree","cicb  (ENSACLG00000026077)Compare Regions (11:23,622,061-23,638,962:1)View Sequence Alignments","n/a","46.11 %","35.76 %","25","42.00","No"
"Mexican tetra (Astyanax mexicanus)","1-to-manyView Gene Tree","cicb  (ENSAMXG00000018358)Compare Regions (11:10,393,614-10,441,942:1)View Sequence Alignments","n/a","23.96 %","25.31 %","0","16.84","No"
"Mexican tetra (Astyanax mexicanus)","1-to-manyView Gene Tree","cica  (ENSAMXG00000036025)Compare Regions (23:7,965,211-8,006,509:1)View Sequence Alignments","n/a","25.31 %","26.74 %","25","20.85","No"
"American bison (Bison bison bison)","1-to-1View Gene Tree","CIC  (ENSBBBG00000021579)Compare Regions (KN248091.1:170,105-181,417:-1)View Sequence Alignments","n/a","61.27 %","61.01 %","50","100.00","Yes"
"Wild yak (Bos mutus)","1-to-1View Gene Tree","CIC  (ENSBMUG00000007723)Compare Regions (JH883350.1:65,745-77,273:-1)View Sequence Alignments","0.09418","92.59 %","92.54 %","100","100.00","Yes"
"Cow (Bos taurus)","1-to-1View Gene Tree","CIC  (ENSBTAG00000019785)Compare Regions (18:50,982,245-51,009,752:-1)View Sequence Alignments","0.09166","59.45 %","92.72 %","100","100.00","Yes"
"Caenorhabditis elegans (Caenorhabditis elegans)","1-to-1View Gene Tree","gei-3  (WBGene00001560)Compare Regions (X:12,795,216-12,813,947:-1)View Sequence Alignments","n/a","15.80 %","13.81 %","n/a","n/a","No"
"Marmoset (Callithrix jacchus)","1-to-1View Gene Tree","CIC  (ENSCJAG00000012847)Compare Regions (NTIC01011113.1:40,912,442-40,936,512:1)View Sequence Alignments","0.12395","62.07 %","97.20 %","100","100.00","Yes"
"Dog (Canis lupus familiaris)","1-to-1View Gene Tree","CIC  (ENSCAFG00000004858)Compare Regions (1:112,082,399-112,092,748:-1)View Sequence Alignments","0.08216","94.26 %","94.90 %","100","100.00","Yes"
"Dingo (Canis lupus dingo)","1-to-1View Gene Tree","CIC  (ENSCAFG00020014340)Compare Regions (QKWQ01000848.1:112,588,431-112,598,778:-1)View Sequence Alignments","0.08153","94.67 %","94.90 %","100","100.00","Yes"
"Goat (Capra hircus)","1-to-1View Gene Tree","CIC  (ENSCHIG00000015534)Compare Regions (18:51,874,017-51,901,257:-1)View Sequence Alignments","0.08546","58.94 %","93.03 %","100","100.00","Yes"
"Tarsier (Carlito syrichta)","1-to-1View Gene Tree","CIC  (ENSTSYG00000030592)Compare Regions (KE941373.1:7,925-18,265:1)View Sequence Alignments","0.09733","95.31 %","95.96 %","50","100.00","Yes"
"American beaver (Castor canadensis)","1-to-1View Gene Tree","Cic  (ENSCCNG00000019867)Compare Regions (MTKA01001836.1:64,733-90,393:1)View Sequence Alignments","0.12803","59.42 %","92.97 %","100","100.00","Yes"
"Brazilian guinea pig (Cavia aperea)","1-to-1View Gene Tree","CIC  (ENSCAPG00000010195)Compare Regions (AVPZ01000789.1:3,965,437-3,989,871:-1)View Sequence Alignments","0.15207","54.96 %","85.45 %","75","98.85","Yes"
"Guinea Pig (Cavia porcellus)","1-to-1View Gene Tree","CIC  (ENSCPOG00000004391)Compare Regions (DS562935.1:3,995,001-4,023,359:-1)View Sequence Alignments","0.09719","59.51 %","93.41 %","100","100.00","Yes"
"Capuchin (Cebus capucinus imitator)","1-to-1View Gene Tree","CIC  (ENSCCAG00000035181)Compare Regions (KV389732.1:295,023-320,457:-1)View Sequence Alignments","0.10398","62.23 %","97.33 %","100","100.00","Yes"
"Sooty mangabey (Cercocebus atys)","1-to-1View Gene Tree","CIC  (ENSCATG00000039935)Compare Regions (KQ010951.1:2,430,067-2,454,423:1)View Sequence Alignments","0.12994","62.89 %","98.32 %","100","100.00","Yes"
"Abingdon island giant tortoise (Chelonoidis abingdonii)","1-to-1View Gene Tree","CIC  (ENSCABG00000001195)Compare Regions (PKMU01001084.1:72,377-108,622:-1)View Sequence Alignments","n/a","40.23 %","58.64 %","75","97.35","Yes"
"Long-tailed chinchilla (Chinchilla lanigera)","1-to-1View Gene Tree","CIC  (ENSCLAG00000000862)Compare Regions (JH722015.1:613,665-638,369:-1)View Sequence Alignments","0.09802","59.90 %","93.84 %","100","100.00","Yes"
"Vervet-AGM (Chlorocebus sabaeus)","1-to-1View Gene Tree","CIC  (ENSCSAG00000003462)Compare Regions (6:36,494,057-36,500,697:1)View Sequence Alignments","n/a","99.08 %","60.39 %","100","100.00","Yes"
"Painted turtle (Chrysemys picta bellii)","1-to-1View Gene Tree","CIC  (ENSCPBG00000013740)Compare Regions (KK083321.1:287,806-301,686:1)View Sequence Alignments","n/a","56.63 %","49.38 %","75","89.99","Yes"
"Ciona intestinalis","1-to-manyView Gene Tree","ENSCING00000007655Compare Regions (4:2,501,919-2,506,049:1)View Sequence Alignments","n/a","36.50 %","8.83 %","n/a","13.11","No"
"Ciona intestinalis","1-to-manyView Gene Tree","ENSCING00000021607Compare Regions (4:2,508,835-2,517,205:1)View Sequence Alignments","n/a","24.24 %","12.87 %","n/a","n/a","No"
"Angola colobus (Colobus angolensis palliatus)","1-to-1View Gene Tree","CIC  (ENSCANG00000013372)Compare Regions (KN979985.1:5,063,678-5,087,709:1)View Sequence Alignments","0.23921","60.56 %","96.33 %","100","100.00","Yes"
"Chinese hamster CHOK1GS (Cricetulus griseus)","1-to-1View Gene Tree","Cic  (ENSCGRG00001017203)Compare Regions (scaffold_53:4,138,706-4,162,799:1)View Sequence Alignments","0.13620","55.95 %","83.08 %","100","100.00","Yes"
"Chinese hamster PICR (Cricetulus griseus)","1-to-1View Gene Tree","Cic  (ENSCGRG00015021270)Compare Regions (RAZU01000274.1:342,022-368,224:-1)View Sequence Alignments","0.09583","59.04 %","92.23 %","100","100.00","Yes"
"Tongue sole (Cynoglossus semilaevis)","1-to-1View Gene Tree","cicb  (ENSCSEG00000019560)Compare Regions (13:1,361,330-1,395,454:-1)View Sequence Alignments","n/a","29.03 %","35.26 %","25","37.34","No"
"Sheepshead minnow (Cyprinodon variegatus)","1-to-1View Gene Tree","cicb  (ENSCVAG00000015136)Compare Regions (KL653734.1:93,337-136,851:1)View Sequence Alignments","n/a","24.75 %","41.92 %","25","28.55","No"
"Zebrafish (Danio rerio)","1-to-manyView Gene Tree","cicb  (ENSDARG00000055502)Compare Regions (16:11,151,699-11,224,444:1)View Sequence Alignments","n/a","24.97 %","40.73 %","25","24.86","No"
"Zebrafish (Danio rerio)","1-to-manyView Gene Tree","cica  (ENSDARG00000071150)Compare Regions (19:6,085,784-6,134,802:-1)View Sequence Alignments","n/a","22.51 %","34.89 %","25","18.33","No"
"Armadillo (Dasypus novemcinctus)","1-to-1View Gene Tree","CIC  (ENSDNOG00000047657)Compare Regions (JH568915.1:54,518-79,489:-1)View Sequence Alignments","0.11164","63.56 %","89.93 %","75","99.31","Yes"
"Kangaroo rat (Dipodomys ordii)","1-to-1View Gene Tree","Cic  (ENSDORG00000008822)Compare Regions (KN672502.1:1,958,405-1,981,804:-1)View Sequence Alignments","0.09064","57.73 %","88.68 %","100","100.00","Yes"
"Drosophila melanogaster (Drosophila melanogaster)","1-to-1View Gene Tree","cic  (FBgn0262582)Compare Regions (3R:20,252,770-20,303,942:1)View Sequence Alignments","n/a","14.98 %","20.02 %","n/a","n/a","No"
"Lesser hedgehog tenrec (Echinops telfairi)","1-to-1View Gene Tree","ENSETEG00000017271Compare Regions (GeneScaffold_838:27,675-35,813:1)View Sequence Alignments","n/a","63.24 %","49.01 %","50","71.10","No"
"Hagfish (Eptatretus burgeri)","1-to-1View Gene Tree","CIC  (ENSEBUG00000001186)Compare Regions (FYBX02009484.1:2,285,583-2,329,642:-1)View Sequence Alignments","n/a","40.17 %","26.31 %","n/a","26.79","Yes"
"Donkey (Equus asinus asinus)","1-to-1View Gene Tree","CIC  (ENSEASG00005006234)Compare Regions (PSZQ01008564.1:576,767-604,690:1)View Sequence Alignments","0.10629","60.37 %","94.65 %","100","98.46","Yes"
"Horse (Equus caballus)","1-to-1View Gene Tree","CIC  (ENSECAG00000011342)Compare Regions (10:13,664,700-13,690,771:-1)View Sequence Alignments","0.16365","56.96 %","90.05 %","100","99.14","Yes"
"Hedgehog (Erinaceus europaeus)","1-to-1View Gene Tree","CIC  (ENSEEUG00000000727)Compare Regions (GeneScaffold_901:2,828-14,670:1)View Sequence Alignments","n/a","79.90 %","58.08 %","0","88.22","Yes"
"Northern pike (Esox lucius)","1-to-manyView Gene Tree","cicb  (ENSELUG00000018666)Compare Regions (LG20:23,714,262-23,731,424:-1)View Sequence Alignments","n/a","47.34 %","35.45 %","25","6.28","No"
"Northern pike (Esox lucius)","1-to-manyView Gene Tree","cica  (ENSELUG00000020931)Compare Regions (LG10:6,609,295-6,640,173:-1)View Sequence Alignments","n/a","22.88 %","35.63 %","25","43.47","No"
"Cat (Felis catus)","1-to-1View Gene Tree","CIC  (ENSFCAG00000012737)Compare Regions (E2:13,348,189-13,371,138:1)View Sequence Alignments","0.08702","60.48 %","94.78 %","100","100.00","Yes"
"Damara mole rat (Fukomys damarensis)","1-to-1View Gene Tree","CIC  (ENSFDAG00000013255)Compare Regions (KN122065.1:1,369,566-1,394,555:1)View Sequence Alignments","0.16152","56.70 %","84.95 %","100","100.00","Yes"
"Mummichog (Fundulus heteroclitus)","1-to-1View Gene Tree","cicb  (ENSFHEG00000000225)Compare Regions (KN811373.1:1,561,126-1,612,587:1)View Sequence Alignments","n/a","23.23 %","37.38 %","25","24.54","No"
"Cod (Gadus morhua)","1-to-1View Gene Tree","cicb  (ENSGMOG00000005167)Compare Regions (GeneScaffold_4635:212,892-245,858:-1)View Sequence Alignments","n/a","30.41 %","40.92 %","0","55.72","Yes"
"Chicken (Gallus gallus)","1-to-1View Gene Tree","ENSGALG00000054106Compare Regions (KZ626826.1:10,731-15,483:-1)View Sequence Alignments","n/a","75.33 %","14.24 %","0","47.01","No"
"Western mosquitofish (Gambusia affinis)","1-to-manyView Gene Tree","cica  (ENSGAFG00000019580)Compare Regions (NHOQ01000217.1:722,471-747,192:1)View Sequence Alignments","n/a","45.63 %","31.84 %","25","1.93","No"
"Western mosquitofish (Gambusia affinis)","1-to-manyView Gene Tree","cicb  (ENSGAFG00000021616)Compare Regions (NHOQ01001373.1:248,451-300,641:-1)View Sequence Alignments","n/a","23.88 %","40.86 %","25","40.13","No"
"Stickleback (Gasterosteus aculeatus)","1-to-1View Gene Tree","cicb  (ENSGACG00000009452)Compare Regions (groupXX:11,098,052-11,122,011:-1)View Sequence Alignments","n/a","28.61 %","41.04 %","25","37.29","No"
"Agassiz's desert tortoise (Gopherus agassizii)","1-to-1View Gene Tree","CIC  (ENSGAGG00000012212)Compare Regions (PPEB01012907.1:42-7,249:1)View Sequence Alignments","n/a","60.67 %","40.49 %","25","76.12","Yes"
"Gorilla (Gorilla gorilla gorilla)","1-to-1View Gene Tree","ENSGGOG00000000192Compare Regions (19:41,692,039-41,716,053:1)View Sequence Alignments","0.20070","63.29 %","98.94 %","100","100.00","No"
"Burton's mouthbrooder (Haplochromis burtoni)","1-to-manyView Gene Tree","cica  (ENSHBUG00000016139)Compare Regions (JH425770.1:359,817-411,810:-1)View Sequence Alignments","n/a","23.23 %","33.77 %","25","16.41","No"
"Burton's mouthbrooder (Haplochromis burtoni)","1-to-manyView Gene Tree","cicb  (ENSHBUG00000017524)Compare Regions (JH425390.1:193,378-235,980:-1)View Sequence Alignments","n/a","24.30 %","42.48 %","25","36.05","No"
"Naked mole-rat female (Heterocephalus glaber)","1-to-1View Gene Tree","CIC  (ENSHGLG00000019229)Compare Regions (JH602220.1:454,948-486,565:-1)View Sequence Alignments","0.11574","59.65 %","93.59 %","100","100.00","Yes"
"Naked mole-rat male (Heterocephalus glaber)","1-to-1View Gene Tree","CIC  (ENSHGLG00100006593)Compare Regions (JH167692.1:673,899-699,454:1)View Sequence Alignments","0.16672","57.73 %","88.74 %","100","99.79","Yes"
"Tiger tail seahorse (Hippocampus comes)","1-to-manyView Gene Tree","cica  (ENSHCOG00000006058)Compare Regions (KV880048.1:16,193-43,966:-1)View Sequence Alignments","n/a","21.85 %","31.41 %","25","13.79","No"
"Tiger tail seahorse (Hippocampus comes)","1-to-manyView Gene Tree","cicb  (ENSHCOG00000011943)Compare Regions (KV880446.1:680,131-695,691:1)View Sequence Alignments","n/a","47.09 %","40.73 %","25","43.59","No"
"Channel catfish (Ictalurus punctatus)","1-to-manyView Gene Tree","cica  (ENSIPUG00000004959)Compare Regions (12:12,663,304-12,697,266:1)View Sequence Alignments","n/a","22.42 %","34.64 %","25","11.36","No"
"Channel catfish (Ictalurus punctatus)","1-to-manyView Gene Tree","cicb  (ENSIPUG00000005917)Compare Regions (1:9,982,897-10,040,924:1)View Sequence Alignments","n/a","25.62 %","40.67 %","25","27.56","No"
"Squirrel (Ictidomys tridecemlineatus)","1-to-1View Gene Tree","CIC  (ENSSTOG00000000852)Compare Regions (JH393516.1:212,833-242,756:-1)View Sequence Alignments","0.09454","60.81 %","94.96 %","100","100.00","Yes"
"Lesser Egyptian jerboa (Jaculus jaculus)","1-to-1View Gene Tree","Cic  (ENSJJAG00000004156)Compare Regions (JH725582.1:2,314,691-2,338,624:1)View Sequence Alignments","0.09948","59.01 %","91.67 %","100","100.00","Yes"
"Mangrove rivulus (Kryptolebias marmoratus)","1-to-manyView Gene Tree","cicb  (ENSKMAG00000010054)Compare Regions (LWHD01000034.1:2,163,588-2,173,247:1)View Sequence Alignments","n/a","47.56 %","35.20 %","25","36.81","No"
"Mangrove rivulus (Kryptolebias marmoratus)","1-to-manyView Gene Tree","cica  (ENSKMAG00000010608)Compare Regions (LWHD01000511.1:44,281-80,544:1)View Sequence Alignments","n/a","23.93 %","34.51 %","0","21.90","No"
"Ballan wrasse (Labrus bergylta)","1-to-1View Gene Tree","cicb  (ENSLBEG00000011808)Compare Regions (FKLU01000150.1:1,026,209-1,061,186:-1)View Sequence Alignments","n/a","26.00 %","42.66 %","25","29.03","No"
"Coelacanth (Latimeria chalumnae)","1-to-1View Gene Tree","CIC  (ENSLACG00000002764)Compare Regions (JH126983.1:58,896-133,523:-1)View Sequence Alignments","n/a","33.24 %","46.83 %","75","73.67","Yes"
"Spotted gar (Lepisosteus oculatus)","1-to-1View Gene Tree","CIC  (ENSLOCG00000004648)Compare Regions (LG24:2,020,736-2,030,261:1)View Sequence Alignments","n/a","50.00 %","27.36 %","50","49.80","Yes"
"Crab-eating macaque (Macaca fascicularis)","1-to-1View Gene Tree","CIC  (ENSMFAG00000042927)Compare Regions (19:42,796,844-42,821,693:1)View Sequence Alignments","0.13706","62.81 %","98.20 %","100","100.00","Yes"
"Macaque (Macaca mulatta)","1-to-1View Gene Tree","CIC  (ENSMMUG00000012174)Compare Regions (19:38,083,273-38,107,794:1)View Sequence Alignments","0.14205","61.47 %","95.96 %","100","100.00","Yes"
"Pig-tailed macaque (Macaca nemestrina)","1-to-1View Gene Tree","CIC  (ENSMNEG00000032857)Compare Regions (KQ005702.1:437,149-467,680:-1)View Sequence Alignments","0.13571","62.88 %","98.38 %","100","100.00","Yes"
"Drill (Mandrillus leucophaeus)","1-to-1View Gene Tree","CIC  (ENSMLEG00000040615)Compare Regions (KN973052.1:719,304-743,710:-1)View Sequence Alignments","0.13014","62.85 %","98.26 %","100","100.00","Yes"
"Alpine marmot (Marmota marmota marmota)","1-to-1View Gene Tree","CIC  (ENSMMMG00000018746)Compare Regions (CZRN01000046.1:6,524,407-6,548,281:1)View Sequence Alignments","0.09396","60.90 %","95.02 %","100","100.00","Yes"
"Zig-zag eel (Mastacembelus armatus)","1-to-manyView Gene Tree","cicb  (ENSMAMG00000004571)Compare Regions (OOHQ01000011.1:4,350,897-4,378,899:1)View Sequence Alignments","n/a","24.69 %","39.74 %","25","27.92","No"
"Zig-zag eel (Mastacembelus armatus)","1-to-manyView Gene Tree","cica  (ENSMAMG00000013677)Compare Regions (OOHQ01000103.1:18,588,412-18,612,323:-1)View Sequence Alignments","n/a","27.06 %","30.66 %","25","14.08","No"
"Zebra mbuna (Maylandia zebra)","1-to-manyView Gene Tree","cicb  (ENSMZEG00005018437)Compare Regions (LG11:20,084,950-20,102,214:1)View Sequence Alignments","n/a","46.04 %","35.82 %","25","41.91","No"
"Zebra mbuna (Maylandia zebra)","1-to-manyView Gene Tree","cica  (ENSMZEG00005026004)Compare Regions (LG22:6,609,892-6,653,405:1)View Sequence Alignments","n/a","23.88 %","30.97 %","25","13.71","No"
"Mongolian gerbil (Meriones unguiculatus)","1-to-1View Gene Tree","Cic  (ENSMUGG00000025546)Compare Regions (NHTI01002492.1:87,345-112,894:1)View Sequence Alignments","0.09833","58.20 %","90.30 %","100","100.00","Yes"
"Golden Hamster (Mesocricetus auratus)","1-to-1View Gene Tree","Cic  (ENSMAUG00000001079)Compare Regions (KB708375.1:745,327-768,147:1)View Sequence Alignments","0.11071","58.50 %","90.92 %","100","100.00","Yes"
"Mouse Lemur (Microcebus murinus)","1-to-1View Gene Tree","CIC  (ENSMICG00000030301)Compare Regions (22:13,821,575-13,852,501:-1)View Sequence Alignments","0.07496","61.59 %","96.02 %","75","100.00","Yes"
"Prairie vole (Microtus ochrogaster)","1-to-1View Gene Tree","Cic  (ENSMOCG00000012897)Compare Regions (LG4:20,258,746-20,285,712:1)View Sequence Alignments","0.10987","58.95 %","91.92 %","100","100.00","Yes"
"Ocean sunfish (Mola mola)","1-to-manyView Gene Tree","cica  (ENSMMOG00000000312)Compare Regions (KV751318.1:958,624-992,343:1)View Sequence Alignments","n/a","25.45 %","28.17 %","25","18.87","No"
"Ocean sunfish (Mola mola)","1-to-manyView Gene Tree","cicb  (ENSMMOG00000015741)Compare Regions (KV751362.1:1,182,773-1,218,090:-1)View Sequence Alignments","n/a","29.21 %","41.42 %","25","41.10","No"
"Opossum (Monodelphis domestica)","1-to-1View Gene Tree","ENSMODG00000028836Compare Regions (Un:39,876,964-39,880,525:1)View Sequence Alignments","n/a","75.11 %","21.58 %","50","67.93","No"
"Swamp eel (Monopterus albus)","1-to-manyView Gene Tree","cica  (ENSMALG00000009866)Compare Regions (KV884894.1:589,304-617,015:1)View Sequence Alignments","n/a","23.95 %","35.01 %","25","11.95","No"
