"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-1View Gene Tree","mgat5  (ENSAPOG00000023755)Compare Regions (MVNR01000302.1:341,324-439,968:1)View Sequence Alignments","n/a","79.62 %","79.62 %","0","96.06","Yes"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","MGAT5  (ENSAMEG00000016315)Compare Regions (GL192777.1:337,834-545,058:1)View Sequence Alignments","0.02254","98.65 %","98.65 %","50","100.00","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-1View Gene Tree","mgat5  (ENSACIG00000018953)Compare Regions (CCOE01000439.1:458,470-538,871:-1)View Sequence Alignments","n/a","76.81 %","74.63 %","25","89.04","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-1View Gene Tree","mgat5  (ENSAOCG00000016625)Compare Regions (NXFZ01006184.1:638,049-738,128:-1)View Sequence Alignments","n/a","79.62 %","79.62 %","0","96.06","Yes"
"Orange clownfish (Amphiprion percula)","1-to-1View Gene Tree","mgat5  (ENSAPEG00000012172)Compare Regions (24:20,659,656-20,758,155:-1)View Sequence Alignments","n/a","79.62 %","79.62 %","0","99.51","Yes"
"Climbing perch (Anabas testudineus)","1-to-1View Gene Tree","mgat5  (ENSATEG00000000484)Compare Regions (OOHO01000004.1:8,215,079-8,286,307:-1)View Sequence Alignments","n/a","80.03 %","80.03 %","25","99.42","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-1View Gene Tree","MGAT5  (ENSAPLG00000013548)Compare Regions (7:35,105,968-35,176,718:-1)View Sequence Alignments","n/a","86.33 %","83.54 %","100","100.00","Yes"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","MGAT5  (ENSACAG00000002486)Compare Regions (1:96,169,445-96,248,843:1)View Sequence Alignments","n/a","86.93 %","87.04 %","50","100.00","Yes"
"Pink-footed goose (Anser brachyrhynchus)","1-to-1View Gene Tree","MGAT5  (ENSABRG00000002157)Compare Regions (NXHY01000026.1:2,965,879-3,034,997:1)View Sequence Alignments","n/a","86.68 %","86.91 %","100","100.00","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","MGAT5  (ENSANAG00000035860)Compare Regions (KZ206783.1:1,372,710-1,644,227:-1)View Sequence Alignments","0.03483","99.60 %","99.60 %","100","100.00","Yes"
"Great spotted kiwi (Apteryx haastii)","1-to-1View Gene Tree","MGAT5  (ENSAHAG00000000549)Compare Regions (PTFD01000614.1:38,684-120,277:1)View Sequence Alignments","n/a","87.06 %","87.18 %","50","100.00","Yes"
"Little spotted kiwi (Apteryx owenii)","1-to-1View Gene Tree","MGAT5  (ENSAOWG00000017165)Compare Regions (PTFC01000018.1:3,574,305-3,682,690:-1)View Sequence Alignments","n/a","87.04 %","87.04 %","100","100.00","Yes"
"Okarito brown kiwi (Apteryx rowi)","1-to-1View Gene Tree","MGAT5  (ENSARWG00000002133)Compare Regions (PTFB01000009.1:2,015,307-2,132,412:1)View Sequence Alignments","n/a","87.18 %","87.18 %","100","100.00","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-1View Gene Tree","mgat5  (ENSACLG00000027358)Compare Regions (23:32,610,764-32,712,802:-1)View Sequence Alignments","n/a","79.62 %","79.62 %","25","92.16","Yes"
"Mexican tetra (Astyanax mexicanus)","1-to-1View Gene Tree","mgat5  (ENSAMXG00000003586)Compare Regions (APWO02000034.1:4,441,305-4,608,733:1)View Sequence Alignments","n/a","79.40 %","78.54 %","25","87.58","Yes"
"American bison (Bison bison bison)","1-to-1View Gene Tree","MGAT5  (ENSBBBG00000012893)Compare Regions (KN265045.1:2,897,598-3,143,644:1)View Sequence Alignments","0.04945","96.35 %","96.09 %","100","100.00","Yes"
"Wild yak (Bos mutus)","1-to-1View Gene Tree","MGAT5  (ENSBMUG00000004831)Compare Regions (JH881536.1:1,085,291-1,421,096:1)View Sequence Alignments","0.05132","96.35 %","96.09 %","50","100.00","Yes"
"Cow (Bos taurus)","1-to-1View Gene Tree","MGAT5  (ENSBTAG00000018744)Compare Regions (2:62,784,836-63,181,459:-1)View Sequence Alignments","0.05812","94.00 %","95.14 %","100","100.00","Yes"
"Caenorhabditis elegans (Caenorhabditis elegans)","1-to-manyView Gene Tree","gly-2  (WBGene00001627)Compare Regions (I:6,507,894-6,511,630:1)View Sequence Alignments","n/a","34.68 %","31.31 %","n/a","n/a","Yes"
"Ruff (Calidris pugnax)","1-to-1View Gene Tree","MGAT5  (ENSCPUG00000009648)Compare Regions (KQ482153.1:6,024,361-6,148,040:-1)View Sequence Alignments","n/a","86.91 %","86.91 %","100","100.00","Yes"
"Spoon-billed sandpiper (Calidris pygmaea)","1-to-1View Gene Tree","MGAT5  (ENSCPGG00000013151)Compare Regions (QJSC01002385.1:2,361,557-2,488,154:1)View Sequence Alignments","n/a","87.04 %","87.04 %","100","100.00","Yes"
"Marmoset (Callithrix jacchus)","1-to-1View Gene Tree","MGAT5  (ENSCJAG00000011518)Compare Regions (NTIC01035500.1:89,860,803-90,051,259:-1)View Sequence Alignments","0.03172","99.60 %","99.60 %","100","100.00","Yes"
"Dog (Canis lupus familiaris)","1-to-1View Gene Tree","MGAT5  (ENSCAFG00000005008)Compare Regions (19:37,041,266-37,331,489:1)View Sequence Alignments","0.02302","98.79 %","98.79 %","100","100.00","Yes"
"Dingo (Canis lupus dingo)","1-to-1View Gene Tree","ENSCAFG00020015709Compare Regions (QKWQ01000695.1:10,690,874-10,709,065:1)View Sequence Alignments","n/a","96.50 %","18.62 %","100","63.86","No"
"Goat (Capra hircus)","1-to-1View Gene Tree","MGAT5  (ENSCHIG00000027215)Compare Regions (2:73,045,506-73,444,828:1)View Sequence Alignments","0.05815","89.14 %","95.28 %","75","100.00","Yes"
"Tarsier (Carlito syrichta)","1-to-1View Gene Tree","MGAT5  (ENSTSYG00000014305)Compare Regions (KE946825.1:354,863-572,288:1)View Sequence Alignments","0.03883","99.06 %","99.06 %","0","100.00","Yes"
"American beaver (Castor canadensis)","1-to-1View Gene Tree","ENSCCNG00000023035Compare Regions (MTKA01001565.1:465,730-485,160:1)View Sequence Alignments","n/a","94.41 %","18.22 %","0","61.68","No"
"Brazilian guinea pig (Cavia aperea)","1-to-1View Gene Tree","MGAT5  (ENSCAPG00000001940)Compare Regions (AVPZ01000334.1:52,388,642-52,584,738:-1)View Sequence Alignments","0.23890","82.39 %","66.94 %","100","86.16","Yes"
"Guinea Pig (Cavia porcellus)","1-to-1View Gene Tree","MGAT5  (ENSCPOG00000004942)Compare Regions (DS562858.1:52,421,257-52,617,444:-1)View Sequence Alignments","0.06441","96.60 %","95.82 %","100","100.00","Yes"
"Capuchin (Cebus capucinus imitator)","1-to-1View Gene Tree","MGAT5  (ENSCCAG00000022086)Compare Regions (KV389521.1:5,163,432-5,491,036:1)View Sequence Alignments","0.03231","99.60 %","99.60 %","100","100.00","Yes"
"Sooty mangabey (Cercocebus atys)","1-to-1View Gene Tree","MGAT5  (ENSCATG00000033052)Compare Regions (KQ009971.1:4,119,132-4,453,054:1)View Sequence Alignments","0.03608","99.73 %","99.73 %","100","100.00","Yes"
"Abingdon island giant tortoise (Chelonoidis abingdonii)","1-to-1View Gene Tree","MGAT5  (ENSCABG00000014607)Compare Regions (PKMU01000611.1:1,005,301-1,154,291:-1)View Sequence Alignments","n/a","88.14 %","88.26 %","50","100.00","Yes"
"Long-tailed chinchilla (Chinchilla lanigera)","1-to-1View Gene Tree","MGAT5  (ENSCLAG00000003416)Compare Regions (JH721900.1:1,786,874-1,999,281:1)View Sequence Alignments","0.03318","97.84 %","97.84 %","100","100.00","Yes"
"Vervet-AGM (Chlorocebus sabaeus)","1-to-1View Gene Tree","MGAT5  (ENSCSAG00000016433)Compare Regions (10:18,487,693-18,685,669:1)View Sequence Alignments","0.01367","99.86 %","99.86 %","100","100.00","Yes"
"Sloth (Choloepus hoffmanni)","1-to-1View Gene Tree","MGAT5  (ENSCHOG00000007594)Compare Regions (GeneScaffold_4772:10,570-89,254:1)View Sequence Alignments","n/a","72.97 %","65.59 %","0","81.96","Yes"
"Painted turtle (Chrysemys picta bellii)","1-to-1View Gene Tree","MGAT5  (ENSCPBG00000010211)Compare Regions (4:7,479,899-7,716,479:1)View Sequence Alignments","n/a","88.01 %","88.12 %","100","100.00","Yes"
"Angola colobus (Colobus angolensis palliatus)","1-to-1View Gene Tree","MGAT5  (ENSCANG00000042367)Compare Regions (KN980140.1:3,942,060-4,156,679:1)View Sequence Alignments","0.05224","99.60 %","99.60 %","50","100.00","Yes"
"Japanese quail (Coturnix japonica)","1-to-1View Gene Tree","MGAT5  (ENSCJPG00005020454)Compare Regions (7:27,468,589-27,545,083:1)View Sequence Alignments","n/a","86.91 %","86.91 %","100","100.00","Yes"
"Chinese hamster CHOK1GS (Cricetulus griseus)","1-to-1View Gene Tree","Mgat5  (ENSCGRG00001021442)Compare Regions (scaffold_1:60,974,182-61,262,250:-1)View Sequence Alignments","0.02709","97.03 %","96.90 %","100","100.00","Yes"
"Chinese hamster CriGri (Cricetulus griseus)","1-to-1View Gene Tree","Mgat5  (ENSCGRG00000007811)Compare Regions (JH000077.1:2,689,115-2,934,286:1)View Sequence Alignments","0.02709","97.03 %","96.90 %","75","100.00","Yes"
"Chinese hamster PICR (Cricetulus griseus)","1-to-1View Gene Tree","MGAT5  (ENSCGRG00015007627)Compare Regions (RAZU01000200.1:39,524,876-39,813,348:-1)View Sequence Alignments","0.02708","97.03 %","96.90 %","100","100.00","Yes"
"Australian saltwater crocodile (Crocodylus porosus)","1-to-1View Gene Tree","MGAT5  (ENSCPRG00005003744)Compare Regions (MDVP01000067.1:67,281,074-67,502,681:1)View Sequence Alignments","n/a","87.60 %","87.72 %","100","100.00","Yes"
"Blue tit (Cyanistes caeruleus)","1-to-1View Gene Tree","MGAT5  (ENSCCEG00000008894)Compare Regions (PDCF01000005.1:32,082,149-32,146,210:1)View Sequence Alignments","n/a","85.85 %","85.16 %","100","98.75","Yes"
