"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-1View Gene Tree","ipo9  (ENSAPOG00000020880)Compare Regions (MVNR01000003.1:965,657-992,274:-1)View Sequence Alignments","n/a","85.38 %","85.30 %","50","98.98","Yes"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","IPO9  (ENSAMEG00000012052)Compare Regions (GL192393.1:456,726-507,090:-1)View Sequence Alignments","0.01072","99.14 %","99.52 %","100","100.00","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-1View Gene Tree","ipo9  (ENSACIG00000015855)Compare Regions (CCOE01000519.1:1,802,370-1,813,535:-1)View Sequence Alignments","n/a","87.23 %","77.43 %","50","87.50","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-1View Gene Tree","ipo9  (ENSAOCG00000000358)Compare Regions (NXFZ01004396.1:138,201-165,754:1)View Sequence Alignments","n/a","87.15 %","87.32 %","50","99.94","Yes"
"Orange clownfish (Amphiprion percula)","1-to-1View Gene Tree","ipo9  (ENSAPEG00000009684)Compare Regions (6:9,326,606-9,354,341:1)View Sequence Alignments","n/a","87.34 %","87.51 %","50","99.94","Yes"
"Climbing perch (Anabas testudineus)","1-to-1View Gene Tree","ipo9  (ENSATEG00000025038)Compare Regions (OOHO01000017.1:13,716,626-13,726,703:1)View Sequence Alignments","n/a","87.77 %","77.23 %","50","92.96","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-1View Gene Tree","IPO9  (ENSAPLG00000008676)Compare Regions (27:3,709,390-3,738,456:-1)View Sequence Alignments","n/a","89.98 %","90.59 %","0","98.49","Yes"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","IPO9  (ENSACAG00000005261)Compare Regions (4:133,858,936-133,887,435:1)View Sequence Alignments","n/a","92.92 %","88.18 %","0","97.37","Yes"
"Pink-footed goose (Anser brachyrhynchus)","1-to-1View Gene Tree","IPO9  (ENSABRG00000017254)Compare Regions (NXHY01000154.1:696,852-729,505:1)View Sequence Alignments","n/a","86.75 %","91.16 %","0","97.72","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","IPO9  (ENSANAG00000032001)Compare Regions (KZ203698.1:28,047,732-28,097,874:1)View Sequence Alignments","0.01146","99.81 %","99.81 %","100","100.00","Yes"
"Great spotted kiwi (Apteryx haastii)","1-to-1View Gene Tree","IPO9  (ENSAHAG00000008663)Compare Regions (PTFD01000187.1:961,341-989,870:-1)View Sequence Alignments","n/a","91.57 %","87.61 %","0","95.72","Yes"
"Little spotted kiwi (Apteryx owenii)","1-to-1View Gene Tree","IPO9  (ENSAOWG00000011950)Compare Regions (PTFC01000184.1:1,033,586-1,061,586:-1)View Sequence Alignments","n/a","94.24 %","89.63 %","0","97.18","Yes"
"Okarito brown kiwi (Apteryx rowi)","1-to-1View Gene Tree","IPO9  (ENSARWG00000007560)Compare Regions (PTFB01000201.1:957,035-987,113:-1)View Sequence Alignments","n/a","92.25 %","88.09 %","0","95.81","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-1View Gene Tree","ipo9  (ENSACLG00000019807)Compare Regions (5:5,306,666-5,321,734:1)View Sequence Alignments","n/a","85.30 %","84.73 %","50","98.58","Yes"
"Mexican tetra (Astyanax mexicanus)","1-to-1View Gene Tree","ipo9  (ENSAMXG00000024731)Compare Regions (22:22,974,920-22,993,522:-1)View Sequence Alignments","n/a","86.45 %","85.21 %","50","97.58","Yes"
"American bison (Bison bison bison)","1-to-1View Gene Tree","IPO9  (ENSBBBG00000009261)Compare Regions (KN265207.1:477,688-508,487:1)View Sequence Alignments","n/a","85.96 %","82.32 %","100","96.49","Yes"
"Wild yak (Bos mutus)","1-to-1View Gene Tree","IPO9  (ENSBMUG00000018342)Compare Regions (JH881618.1:457,931-488,517:-1)View Sequence Alignments","n/a","94.42 %","90.97 %","75","98.10","Yes"
"Cow (Bos taurus)","1-to-1View Gene Tree","IPO9  (ENSBTAG00000004452)Compare Regions (16:80,589,408-80,629,377:-1)View Sequence Alignments","0.02102","96.06 %","95.97 %","100","100.00","Yes"
"Ruff (Calidris pugnax)","1-to-1View Gene Tree","IPO9  (ENSCPUG00000017345)Compare Regions (KQ482195.1:645,750-685,185:1)View Sequence Alignments","n/a","92.89 %","92.89 %","0","99.57","Yes"
"Spoon-billed sandpiper (Calidris pygmaea)","1-to-1View Gene Tree","IPO9  (ENSCPGG00000010177)Compare Regions (QJSC01025357.1:603,626-641,148:1)View Sequence Alignments","n/a","92.66 %","93.37 %","0","100.00","Yes"
"Marmoset (Callithrix jacchus)","1-to-1View Gene Tree","IPO9  (ENSCJAG00000005627)Compare Regions (NTIC01010001.1:23,632,591-23,683,570:1)View Sequence Alignments","n/a","100.00 %","100.00 %","100","100.00","Yes"
"Dog (Canis lupus familiaris)","1-to-1View Gene Tree","IPO9  (ENSCAFG00000010649)Compare Regions (7:1,077,534-1,109,940:-1)View Sequence Alignments","0.00888","99.19 %","94.43 %","100","100.00","Yes"
"Dingo (Canis lupus dingo)","1-to-1View Gene Tree","IPO9  (ENSCAFG00020016229)Compare Regions (QKWQ01002294.1:1,069,269-1,124,017:-1)View Sequence Alignments","0.01338","98.67 %","99.42 %","100","100.00","Yes"
"Goat (Capra hircus)","1-to-1View Gene Tree","IPO9  (ENSCHIG00000015356)Compare Regions (16:79,038,000-79,076,978:1)View Sequence Alignments","n/a","93.76 %","93.76 %","75","100.00","Yes"
"Tarsier (Carlito syrichta)","1-to-1View Gene Tree","IPO9  (ENSTSYG00000009534)Compare Regions (KE944417.1:1,519,381-1,574,999:1)View Sequence Alignments","0.01261","99.62 %","99.62 %","100","100.00","Yes"
"American beaver (Castor canadensis)","1-to-1View Gene Tree","Ipo9  (ENSCCNG00000031554)Compare Regions (MTKA01000940.1:174,793-213,903:-1)View Sequence Alignments","0.03445","98.75 %","98.66 %","75","100.00","Yes"
"Brazilian guinea pig (Cavia aperea)","1-to-1View Gene Tree","IPO9  (ENSCAPG00000009991)Compare Regions (AVPZ01000034.1:20,611,671-20,638,082:-1)View Sequence Alignments","0.25583","80.34 %","53.79 %","100","81.90","Yes"
"Guinea Pig (Cavia porcellus)","1-to-1View Gene Tree","IPO9  (ENSCPOG00000000762)Compare Regions (DS562867.1:20,620,853-20,666,646:-1)View Sequence Alignments","0.04056","98.26 %","97.60 %","100","100.00","Yes"
"Capuchin (Cebus capucinus imitator)","1-to-1View Gene Tree","IPO9  (ENSCCAG00000021455)Compare Regions (KV389683.1:2,963,800-3,015,132:1)View Sequence Alignments","n/a","100.00 %","100.00 %","100","100.00","Yes"
"Sooty mangabey (Cercocebus atys)","1-to-1View Gene Tree","IPO9  (ENSCATG00000045312)Compare Regions (KQ009569.1:5,052,323-5,108,295:1)View Sequence Alignments","0.01453","99.90 %","99.90 %","100","100.00","Yes"
"Abingdon island giant tortoise (Chelonoidis abingdonii)","1-to-1View Gene Tree","IPO9  (ENSCABG00000014023)Compare Regions (PKMU01003245.1:493,855-704,842:-1)View Sequence Alignments","n/a","83.43 %","87.03 %","0","93.02","Yes"
