"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","PPP3CB  (ENSAMEG00000016865)Compare Regions (GL192753.1:702,649-751,458:1)View Sequence Alignments","0.19093","96.36 %","95.81 %","100","99.24","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-1View Gene Tree","PPP3CB  (ENSAPLG00000005112)Compare Regions (6:4,602,813-4,645,632:-1)View Sequence Alignments","n/a","91.96 %","89.33 %","75","95.46","Yes"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","PPP3CB  (ENSACAG00000010008)Compare Regions (GL343196.1:864,594-913,286:-1)View Sequence Alignments","n/a","82.83 %","89.14 %","75","72.90","Yes"
"Pink-footed goose (Anser brachyrhynchus)","1-to-1View Gene Tree","PPP3CB  (ENSABRG00000017943)Compare Regions (NXHY01000144.1:2,121,278-2,163,963:1)View Sequence Alignments","n/a","86.80 %","85.14 %","75","93.88","Yes"
"Great spotted kiwi (Apteryx haastii)","1-to-1View Gene Tree","PPP3CB  (ENSAHAG00000006925)Compare Regions (PTFD01000008.1:1,138,253-1,177,358:-1)View Sequence Alignments","n/a","91.06 %","91.24 %","75","95.15","Yes"
"Little spotted kiwi (Apteryx owenii)","1-to-1View Gene Tree","PPP3CB  (ENSAOWG00000010260)Compare Regions (PTFC01000052.1:1,658,618-1,695,528:-1)View Sequence Alignments","n/a","89.53 %","88.00 %","75","94.92","Yes"
"Okarito brown kiwi (Apteryx rowi)","1-to-1View Gene Tree","PPP3CB  (ENSARWG00000003785)Compare Regions (PTFB01000127.1:471,647-507,868:-1)View Sequence Alignments","n/a","91.19 %","90.67 %","75","95.31","Yes"
"American bison (Bison bison bison)","1-to-1View Gene Tree","PPP3CB  (ENSBBBG00000020252)Compare Regions (KN265024.1:7,445,862-7,492,720:-1)View Sequence Alignments","0.03520","99.62 %","99.62 %","100","100.00","Yes"
"Wild yak (Bos mutus)","1-to-1View Gene Tree","PPP3CB  (ENSBMUG00000026865)Compare Regions (JH883854.1:153,343-200,316:1)View Sequence Alignments","n/a","93.90 %","93.90 %","100","100.00","Yes"
"Cow (Bos taurus)","1-to-1View Gene Tree","PPP3CB  (ENSBTAG00000019525)Compare Regions (28:29,426,059-29,473,891:-1)View Sequence Alignments","0.03506","99.62 %","99.62 %","100","100.00","Yes"
"Caenorhabditis elegans (Caenorhabditis elegans)","1-to-manyView Gene Tree","tax-6  (WBGene00006527)Compare Regions (IV:10,493,071-10,501,599:-1)View Sequence Alignments","n/a","68.27 %","70.48 %","n/a","n/a","Yes"
"Ruff (Calidris pugnax)","1-to-1View Gene Tree","PPP3CB  (ENSCPUG00000013462)Compare Regions (KQ482351.1:4,546,815-4,590,395:1)View Sequence Alignments","n/a","93.11 %","90.10 %","75","90.42","Yes"
"Spoon-billed sandpiper (Calidris pygmaea)","1-to-1View Gene Tree","PPP3CB  (ENSCPGG00000015939)Compare Regions (QJSC01015143.1:1,098,512-1,142,356:-1)View Sequence Alignments","n/a","92.31 %","91.43 %","75","95.44","Yes"
"Marmoset (Callithrix jacchus)","1-to-1View Gene Tree","PPP3CB  (ENSCJAG00000001651)Compare Regions (NTIC01004446.1:46,506,097-46,566,421:1)View Sequence Alignments","n/a","100.00 %","99.81 %","100","100.00","Yes"
"Dog (Canis lupus familiaris)","1-to-1View Gene Tree","PPP3CB  (ENSCAFG00000014818)Compare Regions (4:23,973,167-24,028,101:-1)View Sequence Alignments","0.02099","99.62 %","99.43 %","100","100.00","Yes"
"Dingo (Canis lupus dingo)","1-to-1View Gene Tree","PPP3CB  (ENSCAFG00020022520)Compare Regions (QKWQ01001938.1:43,049,854-43,094,059:1)View Sequence Alignments","0.15747","92.41 %","95.05 %","100","98.79","Yes"
"Goat (Capra hircus)","1-to-1View Gene Tree","PPP3CB  (ENSCHIG00000000077)Compare Regions (28:16,159,299-16,205,095:1)View Sequence Alignments","0.13338","93.46 %","95.24 %","100","99.21","Yes"
"Tarsier (Carlito syrichta)","1-to-1View Gene Tree","PPP3CB  (ENSTSYG00000010802)Compare Regions (KE942715.1:147,034-210,454:1)View Sequence Alignments","0.03462","99.43 %","99.43 %","100","100.00","Yes"
"American beaver (Castor canadensis)","1-to-1View Gene Tree","Ppp3cb  (ENSCCNG00000019031)Compare Regions (MTKA01000700.1:205,960-251,800:-1)View Sequence Alignments","0.01514","97.94 %","99.62 %","75","100.00","Yes"
"Brazilian guinea pig (Cavia aperea)","1-to-1View Gene Tree","PPP3CB  (ENSCAPG00000017160)Compare Regions (AVPZ01000067.1:22,232,164-22,271,421:-1)View Sequence Alignments","0.14777","91.24 %","77.33 %","100","94.06","Yes"
"Guinea Pig (Cavia porcellus)","1-to-1View Gene Tree","PPP3CB  (ENSCPOG00000008013)Compare Regions (DS562870.1:22,246,124-22,298,656:-1)View Sequence Alignments","0.10991","96.23 %","97.33 %","100","100.00","Yes"
"Capuchin (Cebus capucinus imitator)","1-to-1View Gene Tree","PPP3CB  (ENSCCAG00000008090)Compare Regions (KV390181.1:261,990-320,110:1)View Sequence Alignments","0.17061","93.81 %","95.24 %","100","99.62","Yes"
"Sooty mangabey (Cercocebus atys)","1-to-1View Gene Tree","PPP3CB  (ENSCATG00000032069)Compare Regions (KQ010842.1:8,369,250-8,429,119:-1)View Sequence Alignments","0.04306","99.81 %","99.81 %","100","100.00","Yes"
"Abingdon island giant tortoise (Chelonoidis abingdonii)","1-to-1View Gene Tree","PPP3CB  (ENSCABG00000005652)Compare Regions (PKMU01008955.1:29,833-106,281:-1)View Sequence Alignments","n/a","89.36 %","88.00 %","75","75.60","Yes"
