"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-1View Gene Tree","trim9  (ENSAPOG00000021464)Compare Regions (MVNR01000652.1:25,518-81,657:-1)View Sequence Alignments","n/a","84.73 %","79.72 %","50","87.97","Yes"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","TRIM9  (ENSAMEG00000010170)Compare Regions (GL192881.1:1,185,959-1,231,197:-1)View Sequence Alignments","0.04252","77.65 %","56.76 %","25","87.62","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-1View Gene Tree","trim9  (ENSACIG00000009816)Compare Regions (CCOE01000109.1:542,937-583,333:1)View Sequence Alignments","n/a","84.96 %","85.92 %","75","92.52","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-1View Gene Tree","trim9  (ENSAOCG00000018619)Compare Regions (NXFZ01004310.1:32,849-96,052:-1)View Sequence Alignments","n/a","83.42 %","85.77 %","25","97.80","Yes"
"Orange clownfish (Amphiprion percula)","1-to-1View Gene Tree","trim9  (ENSAPEG00000010346)Compare Regions (18:24,676,306-24,735,168:-1)View Sequence Alignments","n/a","84.66 %","85.49 %","50","91.10","Yes"
"Climbing perch (Anabas testudineus)","1-to-1View Gene Tree","trim9  (ENSATEG00000000959)Compare Regions (OOHO01000007.1:4,941,076-4,967,011:-1)View Sequence Alignments","n/a","84.64 %","85.35 %","75","74.99","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-1View Gene Tree","TRIM9  (ENSAPLG00000016305)Compare Regions (5:61,451,672-61,479,330:1)View Sequence Alignments","n/a","71.17 %","89.72 %","100","90.32","Yes"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","TRIM9  (ENSACAG00000000525)Compare Regions (GL343527.1:380,344-483,857:1)View Sequence Alignments","n/a","68.22 %","78.31 %","0","82.03","Yes"
"Pink-footed goose (Anser brachyrhynchus)","1-to-1View Gene Tree","TRIM9  (ENSABRG00000009948)Compare Regions (NXHY01000057.1:1,729,636-1,771,952:-1)View Sequence Alignments","n/a","82.22 %","89.86 %","75","97.36","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","TRIM9  (ENSANAG00000033521)Compare Regions (KZ196050.1:207,212-327,080:-1)View Sequence Alignments","0.02023","88.79 %","99.30 %","100","100.00","Yes"
