"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-manyView Gene Tree","PITPNM2  (ENSAPOG00000000376)Compare Regions (MVNR01000257.1:169,399-192,072:-1)View Sequence Alignments","n/a","67.24 %","72.28 %","50","89.01","Yes"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-manyView Gene Tree","ENSAPOG00000022617Compare Regions (MVNR01002248.1:7,919-67,754:1)View Sequence Alignments","n/a","70.31 %","70.05 %","0","1.94","No"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","PITPNM2  (ENSAMEG00000015064)Compare Regions (GL192354.1:2,729,460-2,760,028:-1)View Sequence Alignments","0.06135","91.75 %","90.73 %","100","100.00","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-manyView Gene Tree","PITPNM2 (1 of many)  (ENSACIG00000001572)Compare Regions (CCOE01000794.1:233,658-263,160:-1)View Sequence Alignments","n/a","75.48 %","70.50 %","50","92.17","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-manyView Gene Tree","PITPNM2 (1 of many)  (ENSACIG00000008178)Compare Regions (CCOE01000797.1:282,526-316,789:1)View Sequence Alignments","n/a","70.87 %","68.72 %","50","1.97","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-manyView Gene Tree","PITPNM2 (1 of many)  (ENSAOCG00000000970)Compare Regions (NXFZ01001948.1:231,959-325,416:1)View Sequence Alignments","n/a","72.38 %","69.53 %","50","2.17","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-manyView Gene Tree","PITPNM2 (1 of many)  (ENSAOCG00000005779)Compare Regions (NXFZ01003167.1:102,518-127,188:-1)View Sequence Alignments","n/a","66.17 %","72.50 %","50","85.91","Yes"
"Orange clownfish (Amphiprion percula)","1-to-manyView Gene Tree","PITPNM2 (1 of many)  (ENSAPEG00000005833)Compare Regions (16:21,904,500-22,015,891:-1)View Sequence Alignments","n/a","72.22 %","69.38 %","50","2.15","Yes"
"Orange clownfish (Amphiprion percula)","1-to-manyView Gene Tree","PITPNM2 (1 of many)  (ENSAPEG00000024567)Compare Regions (5:26,680,580-26,707,457:-1)View Sequence Alignments","n/a","66.10 %","72.42 %","50","86.39","Yes"
"Climbing perch (Anabas testudineus)","1-to-manyView Gene Tree","PITPNM2 (1 of many)  (ENSATEG00000006764)Compare Regions (OOHO01000014.1:24,382,405-24,416,810:1)View Sequence Alignments","n/a","69.59 %","69.38 %","50","91.85","Yes"
"Climbing perch (Anabas testudineus)","1-to-manyView Gene Tree","PITPNM2 (1 of many)  (ENSATEG00000011506)Compare Regions (OOHO01000012.1:12,859,392-12,881,848:-1)View Sequence Alignments","n/a","67.20 %","72.13 %","50","1.89","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-1View Gene Tree","PITPNM2  (ENSAPLG00000016158)Compare Regions (16:11,637,974-11,702,043:1)View Sequence Alignments","n/a","79.43 %","75.83 %","100","66.53","Yes"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","PITPNM2  (ENSACAG00000015611)Compare Regions (LGb:1,909,930-2,010,003:1)View Sequence Alignments","n/a","70.84 %","73.83 %","100","92.54","Yes"
"Pink-footed goose (Anser brachyrhynchus)","1-to-1View Gene Tree","PITPNM2  (ENSABRG00000012355)Compare Regions (NXHY01000069.1:1,362,861-1,427,917:1)View Sequence Alignments","n/a","76.97 %","76.58 %","100","65.24","Yes"
