"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-1View Gene Tree","map2k1  (ENSAPOG00000008515)Compare Regions (MVNR01000007.1:516,357-532,953:-1)View Sequence Alignments","n/a","88.35 %","88.80 %","25","81.12","Yes"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","MAP2K1  (ENSAMEG00000003218)Compare Regions (GL192385.1:2,765,649-2,841,235:1)View Sequence Alignments","0.01114","99.24 %","99.24 %","100","100.00","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-1View Gene Tree","map2k1  (ENSACIG00000003699)Compare Regions (CCOE01000477.1:2,964,333-2,967,166:1)View Sequence Alignments","n/a","90.31 %","80.66 %","50","83.68","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-1View Gene Tree","map2k1  (ENSAOCG00000022590)Compare Regions (NXFZ01002902.1:388,162-404,161:-1)View Sequence Alignments","n/a","88.35 %","88.80 %","25","81.10","Yes"
"Orange clownfish (Amphiprion percula)","1-to-1View Gene Tree","map2k1  (ENSAPEG00000020723)Compare Regions (4:13,612,131-13,628,533:1)View Sequence Alignments","n/a","88.35 %","88.80 %","50","81.09","Yes"
"Climbing perch (Anabas testudineus)","1-to-1View Gene Tree","map2k1  (ENSATEG00000009613)Compare Regions (OOHO01000020.1:14,534,241-14,545,483:1)View Sequence Alignments","n/a","79.32 %","88.80 %","50","77.32","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-1View Gene Tree","MAP2K1  (ENSAPLG00000015480)Compare Regions (11:19,405,064-19,441,233:1)View Sequence Alignments","n/a","81.25 %","95.93 %","100","83.43","Yes"
"Pink-footed goose (Anser brachyrhynchus)","1-to-1View Gene Tree","MAP2K1  (ENSABRG00000008635)Compare Regions (NXHY01000053.1:2,366,537-2,404,246:-1)View Sequence Alignments","n/a","81.25 %","95.93 %","100","83.47","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","MAP2K1  (ENSANAG00000023179)Compare Regions (KZ200449.1:1,517,124-1,616,633:1)View Sequence Alignments","0.01502","99.75 %","99.75 %","100","100.00","Yes"
"Great spotted kiwi (Apteryx haastii)","1-to-1View Gene Tree","MAP2K1  (ENSAHAG00000001349)Compare Regions (PTFD01000004.1:127,335-153,378:-1)View Sequence Alignments","n/a","90.49 %","84.73 %","100","77.70","Yes"
