"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-1View Gene Tree","psen1  (ENSAPOG00000003991)Compare Regions (MVNR01000041.1:1,172,302-1,192,006:1)View Sequence Alignments","n/a","66.46 %","68.31 %","0","63.45","Yes"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","PSEN1  (ENSAMEG00000018205)Compare Regions (GL192398.1:1,991-32,775:1)View Sequence Alignments","0.09606","92.05 %","71.95 %","50","90.31","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-1View Gene Tree","psen1  (ENSACIG00000012134)Compare Regions (CCOE01000109.1:1,097,769-1,108,916:1)View Sequence Alignments","n/a","72.87 %","67.88 %","25","58.81","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-1View Gene Tree","psen1  (ENSAOCG00000007965)Compare Regions (NXFZ01002922.1:305,428-326,508:1)View Sequence Alignments","n/a","66.05 %","68.74 %","25","62.85","Yes"
"Orange clownfish (Amphiprion percula)","1-to-1View Gene Tree","psen1  (ENSAPEG00000006847)Compare Regions (18:23,099,867-23,121,409:1)View Sequence Alignments","n/a","66.12 %","68.52 %","25","68.80","Yes"
"Climbing perch (Anabas testudineus)","1-to-1View Gene Tree","psen1  (ENSATEG00000019904)Compare Regions (OOHO01000007.1:4,108,645-4,118,888:1)View Sequence Alignments","n/a","65.92 %","69.16 %","25","58.70","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-1View Gene Tree","PSEN1  (ENSAPLG00000006843)Compare Regions (5:29,665,034-29,682,704:1)View Sequence Alignments","n/a","81.51 %","81.16 %","100","89.38","Yes"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","PSEN1  (ENSACAG00000016176)Compare Regions (1:38,936,864-38,967,567:1)View Sequence Alignments","n/a","80.13 %","80.30 %","100","89.16","Yes"
"Pink-footed goose (Anser brachyrhynchus)","1-to-1View Gene Tree","PSEN1  (ENSABRG00000012553)Compare Regions (NXHY01000045.1:3,929,105-3,945,885:-1)View Sequence Alignments","n/a","83.44 %","83.08 %","100","93.97","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","PSEN1  (ENSANAG00000026358)Compare Regions (KZ202319.1:3,436,953-3,527,793:-1)View Sequence Alignments","0.03612","99.35 %","98.50 %","75","100.00","Yes"
