"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-manyView Gene Tree","ENSAPOG00000000216Compare Regions (MVNR01000148.1:274,845-324,002:1)View Sequence Alignments","n/a","36.01 %","33.49 %","0","n/a","No"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-manyView Gene Tree","l1cama  (ENSAPOG00000006196)Compare Regions (MVNR01000361.1:216,676-257,054:1)View Sequence Alignments","n/a","38.29 %","39.14 %","0","9.08","No"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","L1CAM  (ENSAMEG00000018461)Compare Regions (GL193934.1:297,550-307,421:1)View Sequence Alignments","0.05825","91.10 %","89.58 %","100","99.29","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-manyView Gene Tree","ENSACIG00000009022Compare Regions (CCOE01000486.1:73,546-98,933:1)View Sequence Alignments","n/a","38.53 %","36.60 %","0","12.65","No"
"Midas cichlid (Amphilophus citrinellus)","1-to-manyView Gene Tree","l1cama  (ENSACIG00000023139)Compare Regions (CCOE01001027.1:243,473-262,761:-1)View Sequence Alignments","n/a","38.83 %","38.42 %","0","n/a","No"
"Clown anemonefish (Amphiprion ocellaris)","1-to-manyView Gene Tree","l1cama  (ENSAOCG00000009751)Compare Regions (NXFZ01003155.1:26,554-68,034:-1)View Sequence Alignments","n/a","38.68 %","39.54 %","0","8.72","No"
"Clown anemonefish (Amphiprion ocellaris)","1-to-manyView Gene Tree","ENSAOCG00000014231Compare Regions (NXFZ01002581.1:1,705-32,472:-1)View Sequence Alignments","n/a","35.55 %","31.11 %","0","n/a","No"
"Orange clownfish (Amphiprion percula)","1-to-manyView Gene Tree","l1cama  (ENSAPEG00000001589)Compare Regions (8:6,908,043-6,925,713:1)View Sequence Alignments","n/a","37.75 %","37.63 %","0","8.87","No"
"Orange clownfish (Amphiprion percula)","1-to-manyView Gene Tree","ENSAPEG00000022064Compare Regions (8:37,213,460-37,293,635:1)View Sequence Alignments","n/a","37.37 %","38.50 %","0","n/a","No"
"Climbing perch (Anabas testudineus)","1-to-manyView Gene Tree","ENSATEG00000000530Compare Regions (OOHO01000023.1:25,023,770-25,054,384:1)View Sequence Alignments","n/a","38.80 %","38.58 %","0","10.34","No"
"Climbing perch (Anabas testudineus)","1-to-manyView Gene Tree","l1cama  (ENSATEG00000021665)Compare Regions (OOHO01000023.1:12,646,049-12,680,750:1)View Sequence Alignments","n/a","38.94 %","39.06 %","0","0.23","No"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","L1CAM  (ENSACAG00000011487)Compare Regions (2:87,951,355-88,034,968:-1)View Sequence Alignments","n/a","47.24 %","47.65 %","100","55.92","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","L1CAM  (ENSANAG00000035752)Compare Regions (KZ207773.1:336,444-350,983:1)View Sequence Alignments","0.07046","90.98 %","96.34 %","100","100.00","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-manyView Gene Tree","l1cama  (ENSACLG00000004611)Compare Regions (20:28,564,743-28,609,932:1)View Sequence Alignments","n/a","38.95 %","39.54 %","0","0.37","No"
"Eastern happy (Astatotilapia calliptera)","1-to-manyView Gene Tree","ENSACLG00000010149Compare Regions (20:1,435,538-1,458,678:-1)View Sequence Alignments","n/a","39.16 %","36.91 %","0","13.92","No"
"Eastern happy (Astatotilapia calliptera)","1-to-manyView Gene Tree","ENSACLG00000011798Compare Regions (17:67,615-89,164:-1)View Sequence Alignments","n/a","36.23 %","30.55 %","0","n/a","No"
"Mexican tetra (Astyanax mexicanus)","1-to-manyView Gene Tree","l1cama  (ENSAMXG00000013124)Compare Regions (15:6,721,441-6,770,419:1)View Sequence Alignments","n/a","40.20 %","40.97 %","0","15.97","No"
"Mexican tetra (Astyanax mexicanus)","1-to-manyView Gene Tree","ENSAMXG00000041624Compare Regions (APWO02000056.1:1,022,977-1,063,492:1)View Sequence Alignments","n/a","34.33 %","33.73 %","0","10.59","No"
"Wild yak (Bos mutus)","1-to-1View Gene Tree","L1CAM  (ENSBMUG00000012610)Compare Regions (JH883384.1:257,593-272,288:-1)View Sequence Alignments","0.06938","89.34 %","89.34 %","100","100.00","Yes"
"Cow (Bos taurus)","1-to-1View Gene Tree","L1CAM  (ENSBTAG00000013462)Compare Regions (X:37,076,248-37,090,660:-1)View Sequence Alignments","0.07857","79.43 %","88.15 %","100","100.00","Yes"
"Marmoset (Callithrix jacchus)","1-to-1View Gene Tree","L1CAM  (ENSCJAG00000011023)Compare Regions (NTIC01017779.1:1,731,723-1,746,793:1)View Sequence Alignments","0.05885","97.04 %","96.66 %","100","100.00","Yes"
"Dog (Canis lupus familiaris)","1-to-1View Gene Tree","L1CAM  (ENSCAFG00000019362)Compare Regions (X:121,708,616-121,722,706:-1)View Sequence Alignments","0.05201","91.56 %","91.49 %","100","100.00","Yes"
"Dingo (Canis lupus dingo)","1-to-1View Gene Tree","L1CAM  (ENSCAFG00020022925)Compare Regions (QKWQ01002290.1:2,086,535-2,100,444:1)View Sequence Alignments","0.05149","91.61 %","91.17 %","100","100.00","Yes"
"Goat (Capra hircus)","1-to-1View Gene Tree","L1CAM  (ENSCHIG00000000101)Compare Regions (LWLT01000097.1:42,091-56,799:-1)View Sequence Alignments","0.06958","89.34 %","89.34 %","25","100.00","Yes"
"Tarsier (Carlito syrichta)","1-to-1View Gene Tree","L1CAM  (ENSTSYG00000025729)Compare Regions (KE935458.1:19,636-33,425:1)View Sequence Alignments","0.05898","91.57 %","91.57 %","0","100.00","Yes"
"American beaver (Castor canadensis)","1-to-1View Gene Tree","L1cam  (ENSCCNG00000002083)Compare Regions (MTKA01002821.1:18,605-33,591:1)View Sequence Alignments","0.09755","85.27 %","89.82 %","50","100.00","Yes"
"Brazilian guinea pig (Cavia aperea)","1-to-1View Gene Tree","L1CAM  (ENSCAPG00000008734)Compare Regions (AVPZ01000054.1:1,831,877-1,841,074:1)View Sequence Alignments","0.08327","86.17 %","84.73 %","100","99.27","Yes"
"Guinea Pig (Cavia porcellus)","1-to-1View Gene Tree","L1CAM  (ENSCPOG00000005519)Compare Regions (DS563003.1:1,830,735-1,843,357:1)View Sequence Alignments","0.07850","86.69 %","86.56 %","100","100.00","Yes"
"Capuchin (Cebus capucinus imitator)","1-to-1View Gene Tree","L1CAM  (ENSCCAG00000032233)Compare Regions (KV390025.1:333,865-358,122:1)View Sequence Alignments","0.05482","97.12 %","96.74 %","100","100.00","Yes"
