Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A024QZA9	unreviewed	Protein-serine/threonine kinase	9606	Homo sapiens	412	IPR036890	219..412
A0A024R6H5	unreviewed	MutL homolog 3 (E. coli), isoform CRA_b	9606	Homo sapiens	1453	IPR036890	1..216
A0A024RD80	unreviewed	HATPase_c domain-containing protein	9606	Homo sapiens	724	IPR036890	12..221
A0A140VJY2	unreviewed	HATPase_c domain-containing protein	9606	Homo sapiens	704	IPR036890	82..294
A0A1W2PRR1	unreviewed	HATPase_c domain-containing protein	9606	Homo sapiens	315	IPR036890	73..305
A0A2R8Y6S3	unreviewed	Mismatch repair endonuclease PMS2	9606	Homo sapiens	727	IPR036890	1..96
A0A4D6UXC9	unreviewed	DNA topoisomerase 2	9606	Homo sapiens	786	IPR036890	34..278
A2RU29	unreviewed	CW-type domain-containing protein	9606	Homo sapiens	938	IPR036890	17..290
A4D1H4	unreviewed	Protein-serine/threonine kinase	9606	Homo sapiens	411	IPR036890	190..376
A4D2B6	unreviewed	Postmeiotic segregation increased 2-like 5	9606	Homo sapiens	134	IPR036890	4..90
A4D2B8	reviewed	Putative postmeiotic segregation increased 2-like protein 1	9606	Homo sapiens	440	IPR036890	211..393
A4D2C1	unreviewed	Similar to PMS4 homolog mismatch repair protein-human	9606	Homo sapiens	197	IPR036890	45..177
A5JTV0	unreviewed	MutL homolog 1 protein	9606	Homo sapiens	40	IPR036890	1..40
A5YRY4	unreviewed	PMS2 postmeiotic segregation increased 2	9606	Homo sapiens	56	IPR036890	1..52
A6NHR9	reviewed	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	9606	Homo sapiens	2005	IPR036890	108..338
A8MQ11	reviewed	Postmeiotic segregation increased 2-like protein 5	9606	Homo sapiens	134	IPR036890	4..104
B2R6K0	unreviewed	DNA_mis_repair domain-containing protein	9606	Homo sapiens	756	IPR036890	7..221
B2REB0	unreviewed	Ubiquitin-like domain-containing protein	9606	Homo sapiens	750	IPR036890	89..289
B3KU25	unreviewed	Protein-serine/threonine kinase	9606	Homo sapiens	375	IPR036890	154..340
B3KUX1	unreviewed	Protein-serine/threonine kinase	9606	Homo sapiens	199	IPR036890	1..164
B4DGL0	unreviewed	HATPase_c domain-containing protein	9606	Homo sapiens	714	IPR036890	12..211
B4DGM0	unreviewed	cDNA FLJ60089, highly similar to PMS1 protein homolog 2	9606	Homo sapiens	815	IPR036890	4..184
B4DKD0	unreviewed	DNA topoisomerase 2	9606	Homo sapiens	1178	IPR036890	1..218
B4DLP2	unreviewed	Protein-serine/threonine kinase	9606	Homo sapiens	351	IPR036890	131..316
B4DMA2	unreviewed	HATPase_c domain-containing protein	9606	Homo sapiens	686	IPR036890	1..194
B4DMF4	unreviewed	HMG box domain-containing protein	9606	Homo sapiens	593	IPR036890	1..194
B4DQX3	unreviewed	cDNA FLJ58927, highly similar to Endoplasmin (Heat shock protein 90 kDa beta member 1)	9606	Homo sapiens	163	IPR036890	73..146
B4DTA5	unreviewed	HATPase_c domain-containing protein	9606	Homo sapiens	183	IPR036890	4..180
B4E3A1	unreviewed	HMG box domain-containing protein	9606	Homo sapiens	711	IPR036890	1..150
B7Z207	unreviewed	Protein-serine/threonine kinase	9606	Homo sapiens	281	IPR036890	60..246
B7Z7N6	unreviewed	Protein-serine/threonine kinase	9606	Homo sapiens	360	IPR036890	139..325
C9IYB4	unreviewed	Protein-serine/threonine kinase	9606	Homo sapiens	229	IPR036890	132..229
C9J167	unreviewed	Mismatch repair endonuclease PMS2	9606	Homo sapiens	756	IPR036890	5..125
C9J4L1	unreviewed	PMS1 protein homolog 1	9606	Homo sapiens	73	IPR036890	1..73
C9JF76	unreviewed	PMS1 protein homolog 1	9606	Homo sapiens	194	IPR036890	1..194
C9JKP0	unreviewed	PMS1 protein homolog 1	9606	Homo sapiens	44	IPR036890	1..44
C9JZ54	unreviewed	DNA mismatch repair protein Mlh1	9606	Homo sapiens	83	IPR036890	3..83
D6R983	unreviewed	Protein-serine/threonine kinase	9606	Homo sapiens	160	IPR036890	91..160
D6RDN9	unreviewed	Protein-serine/threonine kinase	9606	Homo sapiens	259	IPR036890	122..259
E9PC40	unreviewed	PMS1 protein homolog 1	9606	Homo sapiens	181	IPR036890	1..156
E9PC65	unreviewed	HMG box domain-containing protein	9606	Homo sapiens	711	IPR036890	1..150
E9PCY5	unreviewed	DNA topoisomerase 2	9606	Homo sapiens	1150	IPR036890	50..294
E9PF25	unreviewed	DNA mismatch repair protein Mlh1	9606	Homo sapiens	48	IPR036890	7..41
F2Z298	unreviewed	DNA mismatch repair protein Mlh1	9606	Homo sapiens	38	IPR036890	7..38
F8W026	unreviewed	Endoplasmin	9606	Homo sapiens	48	IPR036890	1..48
F8W8L1	unreviewed	PMS1 protein homolog 1	9606	Homo sapiens	108	IPR036890	1..108
G3V2J8	unreviewed	HATPase_c domain-containing protein	9606	Homo sapiens	174	IPR036890	4..171
G3V384	unreviewed	HATPase_c domain-containing protein	9606	Homo sapiens	106	IPR036890	1..106
G3V3E0	unreviewed	DNA mismatch repair protein Mlh3	9606	Homo sapiens	162	IPR036890	1..162
G3V419	unreviewed	DNA_mis_repair domain-containing protein	9606	Homo sapiens	1275	IPR036890	1..216
H0Y6M8	unreviewed	Ubiquitin-like domain-containing protein	9606	Homo sapiens	832	IPR036890	89..289
H0Y818	unreviewed	DNA_mis_repair domain-containing protein	9606	Homo sapiens	679	IPR036890	1..213
H0YJF5	unreviewed	Heat shock protein HSP 90-alpha	9606	Homo sapiens	52	IPR036890	1..50
H3BUV3	unreviewed	Protein-serine/threonine kinase	9606	Homo sapiens	146	IPR036890	1..63
I3L0K7	unreviewed	Heat shock protein 75 kDa, mitochondrial	9606	Homo sapiens	495	IPR036890	1..96
I3L0P6	unreviewed	Heat shock protein 75 kDa, mitochondrial	9606	Homo sapiens	35	IPR036890	1..35
I3L239	unreviewed	Heat shock protein 75 kDa, mitochondrial	9606	Homo sapiens	215	IPR036890	1..96
I3L2D5	unreviewed	Heat shock protein 75 kDa, mitochondrial	9606	Homo sapiens	108	IPR036890	1..84
I6L9H5	unreviewed	HMG box domain-containing protein	9606	Homo sapiens	669	IPR036890	1..210
J3KTB7	unreviewed	HATPase_c domain-containing protein	9606	Homo sapiens	147	IPR036890	21..147
K0A7K7	unreviewed	HATPase_c domain-containing protein	9606	Homo sapiens	676	IPR036890	54..266
K9JA46	unreviewed	HATPase_c domain-containing protein	9606	Homo sapiens	732	IPR036890	17..225
O14874	reviewed	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	9606	Homo sapiens	412	IPR036890	219..412
O14942	unreviewed	Heat shock protein beta	9606	Homo sapiens	130	IPR036890	1..112
