,Species,gene,dN,dS,dN/dS
0,Monodelphis_domestica,ENSG00000001084_GCLC,0.004726,0.143021,0.0330449
1,Sarcophilus_harrisii,ENSG00000001084_GCLC,0.018183,0.098888,0.183871
2,Phascolarctos_cinereus,ENSG00000001084_GCLC,0.001894,0.111302,0.0170204
3,Erinaceus_europaeus,ENSG00000001084_GCLC,0.016380,0.273102,0.0599783
4,Sorex_araneus,ENSG00000001084_GCLC,0.016752,0.253239,0.0661492
5,Condylura_cristata,ENSG00000001084_GCLC,0.013756,0.181092,0.0759623
6,Panthera_tigris,ENSG00000001084_GCLC,0.000769,0.002176,0.353465
7,Panthera_pardus,ENSG00000001084_GCLC,0.000000,0.002005,0.0001
8,Felis_catus,ENSG00000001084_GCLC,0.000783,0.014914,0.0525031
9,Acinonyx_jubatus,ENSG00000001084_GCLC,0.000002,0.016991,0.0001
10,Enhydra_lutris,ENSG00000001084_GCLC,0.000964,0.019288,0.0499595
11,Mustela_putorius,ENSG00000001084_GCLC,0.002292,0.022752,0.100757
12,Odobenus_rosmarus,ENSG00000001084_GCLC,0.052659,0.048908,1.07669
13,Leptonychotes_weddellii,ENSG00000001084_GCLC,0.001834,0.015568,0.117818
14,Ailuropoda_melanoleuca,ENSG00000001084_GCLC,0.001425,0.025370,0.0561759
15,Ursus_maritimus,ENSG00000001084_GCLC,0.003108,0.020371,0.152582
16,Manis_javanica,ENSG00000001084_GCLC,0.014129,0.184513,0.0765756
17,Equus_caballus,ENSG00000001084_GCLC,0.000001,0.000001,1.53445
18,Equus_przewalskii,ENSG00000001084_GCLC,0.001438,0.004093,0.351288
19,Equus_asinus,ENSG00000001084_GCLC,0.001433,0.001809,0.791993
20,Ceratotherium_simum,ENSG00000001084_GCLC,0.010730,0.083939,0.12783
21,Camelus_dromedarius,ENSG00000001084_GCLC,0.000001,0.006863,0.0001
22,Camelus_ferus,ENSG00000001084_GCLC,0.000000,0.002374,0.0001
23,Camelus_bactrianus,ENSG00000001084_GCLC,0.000000,0.004681,0.0001
24,Balaenoptera_acutorostrata,ENSG00000001084_GCLC,0.002838,0.019452,0.145871
25,Physeter_catodon,ENSG00000001084_GCLC,0.001417,0.016279,0.0870476
26,Lipotes_vexillifer,ENSG00000001084_GCLC,0.001418,0.010245,0.138435
27,Delphinapterus_leucas,ENSG00000001084_GCLC,0.001417,0.008213,0.172508
28,Tursiops_truncatus,ENSG00000001084_GCLC,0.001497,0.013041,0.114807
29,Orcinus_orca,ENSG00000001084_GCLC,0.000708,0.004090,0.17317
30,Bubalus_bubalis,ENSG00000001084_GCLC,0.000972,0.023033,0.042211
31,Bos_taurus,ENSG00000001084_GCLC,0.000002,0.000001,2.10064
32,Bos_indicus,ENSG00000001084_GCLC,0.000001,0.000001,1.5158
33,Bos_mutus,ENSG00000001084_GCLC,0.000762,0.004756,0.16017
34,Bison_bison,ENSG00000001084_GCLC,0.000000,0.002559,0.0001
35,Capra_hircus,ENSG00000001084_GCLC,0.004708,0.027002,0.174349
36,Ovis_aries,ENSG00000001084_GCLC,0.001524,0.011207,0.135951
37,Pantholops_hodgsonii,ENSG00000001084_GCLC,0.000764,0.026934,0.0283471
38,Odocoileus_virginianus,ENSG00000001084_GCLC,0.005798,0.067382,0.0860469
39,Sus_scrofa,ENSG00000001084_GCLC,0.009321,0.153347,0.0607826
40,Hipposideros_armiger,ENSG00000001084_GCLC,0.006010,0.068197,0.0881227
41,Rhinolophus_sinicus,ENSG00000001084_GCLC,0.006241,0.105823,0.0589758
42,Pteropus_vampyrus,ENSG00000001084_GCLC,0.000000,0.004540,0.0001
43,Pteropus_alecto,ENSG00000001084_GCLC,0.001437,0.007520,0.191089
44,Rousettus_aegyptiacus,ENSG00000001084_GCLC,0.002157,0.033484,0.0644288
45,Eptesicus_fuscus,ENSG00000001084_GCLC,0.009156,0.036450,0.25119
46,Myotis_brandtii,ENSG00000001084_GCLC,0.000002,0.015873,0.0001
47,Myotis_lucifugus,ENSG00000001084_GCLC,0.002088,0.011352,0.183968
48,Myotis_davidii,ENSG00000001084_GCLC,0.004473,0.028980,0.154362
49,Miniopterus_natalensis,ENSG00000001084_GCLC,0.007202,0.086745,0.0830302
50,Oryctolagus_cuniculus,ENSG00000001084_GCLC,0.004069,0.079950,0.0508989
51,Ochotona_princeps,ENSG00000001084_GCLC,0.016660,0.200657,0.0830283
52,Heterocephalus_glaber,ENSG00000001084_GCLC,0.004325,0.059928,0.0721738
53,Fukomys_damarensis,ENSG00000001084_GCLC,0.006058,0.095531,0.0634118
