"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Panda (Ailuropoda melanoleuca)","1-to-manyView Gene Tree","ENSAMEG00000007878Compare Regions (GL192375.1:1,719,843-1,721,454:-1)View Sequence Alignments","0.46672","65.31 %","63.47 %","0","n/a","No"
"Panda (Ailuropoda melanoleuca)","1-to-manyView Gene Tree","ENSAMEG00000016077Compare Regions (GL193341.1:362,991-372,294:-1)View Sequence Alignments","0.08297","95.45 %","94.92 %","100","100.00","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","CCT6A  (ENSANAG00000023339)Compare Regions (KZ196241.1:10,272,439-10,286,848:1)View Sequence Alignments","0.06634","92.76 %","98.87 %","100","99.57","Yes"
"American bison (Bison bison bison)","1-to-1View Gene Tree","CCT6A  (ENSBBBG00000015127)Compare Regions (KN264787.1:12,578,154-12,587,493:1)View Sequence Alignments","0.04804","97.29 %","94.73 %","100","99.53","Yes"
"Hybrid - Bos Indicus (Bos indicus x Bos taurus)","1-to-manyView Gene Tree","ENSBIXG00005006965Compare Regions (25:14,803,905-14,814,127:-1)View Sequence Alignments","0.04880","97.18 %","97.18 %","100","99.53","Yes"
"Hybrid - Bos Indicus (Bos indicus x Bos taurus)","1-to-manyView Gene Tree","ENSBIXG00005012261Compare Regions (2:72,098,087-72,099,703:-1)View Sequence Alignments","0.23203","86.98 %","59.13 %","0","3.02","No"
"Wild yak (Bos mutus)","1-to-manyView Gene Tree","ENSBMUG00000018853Compare Regions (JH881889.1:734,526-736,468:1)View Sequence Alignments","0.24058","86.52 %","60.45 %","0","2.97","No"
"Wild yak (Bos mutus)","1-to-manyView Gene Tree","ENSBMUG00000025207Compare Regions (JH880283.1:207,733-218,860:-1)View Sequence Alignments","0.18099","89.31 %","89.64 %","100","98.09","Yes"
"Cow (Bos taurus)","1-to-1View Gene Tree","CCT6A  (ENSBTAG00000008184)Compare Regions (25:27,727,918-27,738,084:1)View Sequence Alignments","0.04805","97.18 %","97.18 %","100","99.54","Yes"
"Hybrid - Bos Taurus (Bos indicus x Bos taurus)","1-to-manyView Gene Tree","ENSBIXG00000005792Compare Regions (2:63,989,420-63,991,039:1)View Sequence Alignments","0.23297","86.98 %","59.13 %","0","3.02","No"
"Hybrid - Bos Taurus (Bos indicus x Bos taurus)","1-to-manyView Gene Tree","ENSBIXG00000028602Compare Regions (25:27,689,144-27,699,366:1)View Sequence Alignments","0.04880","97.18 %","97.18 %","100","99.53","Yes"
"Marmoset (Callithrix jacchus)","1-to-1View Gene Tree","CCT6A  (ENSCJAG00000021279)Compare Regions (NTIC01011112.1:198,665,763-198,679,443:1)View Sequence Alignments","0.04594","98.68 %","98.68 %","100","100.00","Yes"
"Dog (Canis lupus familiaris)","1-to-manyView Gene Tree","CCT6A  (ENSCAFG00000010149)Compare Regions (6:546,307-557,001:1)View Sequence Alignments","0.03134","98.02 %","93.41 %","100","98.86","Yes"
"Dog (Canis lupus familiaris)","1-to-manyView Gene Tree","ENSCAFG00000043266Compare Regions (7:23,083,378-23,086,429:1)View Sequence Alignments","0.05239","89.69 %","81.92 %","0","4.66","No"
"Dingo (Canis lupus dingo)","1-to-manyView Gene Tree","ENSCAFG00020004902Compare Regions (QKWQ01002087.1:326,690-337,171:1)View Sequence Alignments","0.03456","97.93 %","97.93 %","100","100.00","Yes"
"Dingo (Canis lupus dingo)","1-to-manyView Gene Tree","ENSCAFG00020016997Compare Regions (QKWQ01001577.1:20,034,660-20,037,750:1)View Sequence Alignments","0.07160","96.05 %","87.01 %","0","n/a","No"
"Dingo (Canis lupus dingo)","1-to-manyView Gene Tree","ENSCAFG00020023958Compare Regions (QKWQ01001577.1:74,865,097-74,869,573:-1)View Sequence Alignments","0.19169","91.61 %","80.23 %","0","n/a","No"
"Goat (Capra hircus)","1-to-manyView Gene Tree","ENSCHIG00000005523Compare Regions (2:66,232,623-66,234,218:1)View Sequence Alignments","0.11700","92.47 %","92.47 %","0","2.44","No"
