"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","Many-to-manyView Gene Tree","dnajb1a  (ENSAPOG00000003519)Compare Regions (MVNR01001069.1:149,232-154,846:-1)View Sequence Alignments","n/a","65.40 %","65.59 %","25","100.00","Yes"
"Spiny chromis (Acanthochromis polyacanthus)","Many-to-manyView Gene Tree","dnajc18  (ENSAPOG00000008124)Compare Regions (MVNR01000088.1:539,073-545,948:1)View Sequence Alignments","n/a","16.15 %","18.53 %","0","n/a","No"
"Spiny chromis (Acanthochromis polyacanthus)","Many-to-manyView Gene Tree","dnajb1b  (ENSAPOG00000008869)Compare Regions (MVNR01000264.1:22,012-27,429:1)View Sequence Alignments","n/a","65.80 %","67.35 %","0","n/a","No"
"Spiny chromis (Acanthochromis polyacanthus)","Many-to-manyView Gene Tree","dnajb6b  (ENSAPOG00000012279)Compare Regions (MVNR01000026.1:84,191-112,177:-1)View Sequence Alignments","n/a","29.50 %","27.94 %","0","n/a","No"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","DNAJB1  (ENSAMEG00000013494)Compare Regions (GL192799.1:1,380,545-1,383,028:-1)View Sequence Alignments","0.02269","98.24 %","98.24 %","50","100.00","Yes"
"Midas cichlid (Amphilophus citrinellus)","Many-to-manyView Gene Tree","dnajc18  (ENSACIG00000003250)Compare Regions (CCOE01001132.1:787,878-793,265:-1)View Sequence Alignments","n/a","16.20 %","18.53 %","0","n/a","No"
"Midas cichlid (Amphilophus citrinellus)","Many-to-manyView Gene Tree","dnajb1a  (ENSACIG00000005952)Compare Regions (CCOE01001371.1:2,587-4,608:-1)View Sequence Alignments","n/a","64.22 %","64.41 %","25","n/a","No"
"Midas cichlid (Amphilophus citrinellus)","Many-to-manyView Gene Tree","dnajb1b  (ENSACIG00000014701)Compare Regions (CCOE01001390.1:339,907-342,992:1)View Sequence Alignments","n/a","70.13 %","61.47 %","0","99.14","Yes"
"Midas cichlid (Amphilophus citrinellus)","Many-to-manyView Gene Tree","dnajb6b  (ENSACIG00000017960)Compare Regions (CCOE01000449.1:41,014-49,145:-1)View Sequence Alignments","n/a","32.30 %","21.47 %","0","n/a","No"
"Clown anemonefish (Amphiprion ocellaris)","Many-to-manyView Gene Tree","dnajb1a  (ENSAOCG00000003998)Compare Regions (NXFZ01002930.1:502,086-506,815:-1)View Sequence Alignments","n/a","65.10 %","65.29 %","25","100.00","Yes"
"Clown anemonefish (Amphiprion ocellaris)","Many-to-manyView Gene Tree","dnajb6b  (ENSAOCG00000006346)Compare Regions (NXFZ01003518.1:237,654-263,240:-1)View Sequence Alignments","n/a","28.83 %","27.65 %","0","n/a","No"
"Clown anemonefish (Amphiprion ocellaris)","Many-to-manyView Gene Tree","dnajc18  (ENSAOCG00000007948)Compare Regions (NXFZ01002050.1:153,128-164,022:-1)View Sequence Alignments","n/a","16.15 %","18.53 %","0","n/a","No"
"Clown anemonefish (Amphiprion ocellaris)","Many-to-manyView Gene Tree","dnajb1b  (ENSAOCG00000016506)Compare Regions (NXFZ01002400.1:816,170-821,406:-1)View Sequence Alignments","n/a","64.96 %","67.06 %","50","n/a","Yes"
"Orange clownfish (Amphiprion percula)","Many-to-manyView Gene Tree","dnajb1a  (ENSAPEG00000006279)Compare Regions (14:12,592,080-12,596,576:1)View Sequence Alignments","n/a","65.10 %","65.29 %","25","100.00","Yes"
"Orange clownfish (Amphiprion percula)","Many-to-manyView Gene Tree","dnajb1b  (ENSAPEG00000007368)Compare Regions (3:35,652,328-35,657,708:-1)View Sequence Alignments","n/a","65.52 %","67.06 %","50","n/a","Yes"
"Orange clownfish (Amphiprion percula)","Many-to-manyView Gene Tree","dnajb6b  (ENSAPEG00000015875)Compare Regions (22:11,683,021-11,708,650:-1)View Sequence Alignments","n/a","28.53 %","27.35 %","0","n/a","No"
"Orange clownfish (Amphiprion percula)","Many-to-manyView Gene Tree","dnajc18  (ENSAPEG00000024250)Compare Regions (15:16,159,003-16,170,092:1)View Sequence Alignments","n/a","16.15 %","18.53 %","0","n/a","No"
"Climbing perch (Anabas testudineus)","Many-to-manyView Gene Tree","dnajb6b  (ENSATEG00000005245)Compare Regions (OOHO01000004.1:22,987,816-23,009,021:-1)View Sequence Alignments","n/a","28.66 %","27.06 %","0","n/a","No"
"Climbing perch (Anabas testudineus)","Many-to-manyView Gene Tree","dnajb1b  (ENSATEG00000010466)Compare Regions (OOHO01000002.1:18,642,400-18,645,046:-1)View Sequence Alignments","n/a","65.41 %","66.18 %","50","n/a","Yes"
"Climbing perch (Anabas testudineus)","Many-to-manyView Gene Tree","dnajc18  (ENSATEG00000019725)Compare Regions (OOHO01000006.1:9,236,777-9,244,912:-1)View Sequence Alignments","n/a","16.45 %","18.82 %","0","n/a","No"
