"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-1View Gene Tree","dnajc4  (ENSAPOG00000005068)Compare Regions (MVNR01000268.1:554,364-561,752:1)View Sequence Alignments","n/a","38.98 %","36.95 %","50","25.15","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-1View Gene Tree","dnajc4  (ENSACIG00000022705)Compare Regions (CCOE01000363.1:823,145-826,335:-1)View Sequence Alignments","n/a","40.93 %","38.96 %","50","24.96","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-1View Gene Tree","dnajc4  (ENSAOCG00000017249)Compare Regions (NXFZ01003143.1:46,430-52,405:1)View Sequence Alignments","n/a","39.83 %","37.75 %","50","25.19","Yes"
"Orange clownfish (Amphiprion percula)","1-to-1View Gene Tree","dnajc4  (ENSAPEG00000009188)Compare Regions (13:23,053,093-23,060,048:1)View Sequence Alignments","n/a","38.98 %","36.95 %","50","25.16","Yes"
"Climbing perch (Anabas testudineus)","1-to-1View Gene Tree","dnajc4  (ENSATEG00000014781)Compare Regions (OOHO01000011.1:13,676,291-13,678,563:-1)View Sequence Alignments","n/a","36.93 %","35.74 %","50","23.67","Yes"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","DNAJC4  (ENSACAG00000029518)Compare Regions (GL343555.1:424,199-447,081:1)View Sequence Alignments","n/a","41.59 %","35.74 %","100","43.74","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","DNAJC4  (ENSANAG00000036443)Compare Regions (KZ200996.1:1,123,008-1,126,745:1)View Sequence Alignments","0.57074","67.28 %","73.49 %","75","100.00","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-1View Gene Tree","dnajc4  (ENSACLG00000018027)Compare Regions (2:33,099,235-33,109,595:-1)View Sequence Alignments","n/a","32.86 %","36.95 %","50","24.95","Yes"
"Mexican tetra (Astyanax mexicanus)","1-to-1View Gene Tree","dnajc4  (ENSAMXG00000042705)Compare Regions (24:10,237,668-10,249,194:-1)View Sequence Alignments","n/a","40.85 %","38.55 %","25","36.45","No"
"Siamese fighting fish (Betta splendens)","1-to-1View Gene Tree","dnajc4  (ENSBSLG00000017993)Compare Regions (10:12,188,411-12,191,907:1)View Sequence Alignments","n/a","37.61 %","35.34 %","50","25.36","Yes"
"American bison (Bison bison bison)","1-to-1View Gene Tree","DNAJC4  (ENSBBBG00000020465)Compare Regions (KN264804.1:615,905-621,944:1)View Sequence Alignments","0.40716","67.81 %","63.45 %","100","98.04","Yes"
"Hybrid - Bos Indicus (Bos indicus x Bos taurus)","1-to-1View Gene Tree","ENSBIXG00005013006Compare Regions (29:8,625,035-8,627,973:-1)View Sequence Alignments","n/a","70.31 %","18.07 %","100","100.00","No"
