"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","ODF1  (ENSAMEG00000014784)Compare Regions (GL192927.1:513,506-521,943:-1)View Sequence Alignments","0.02827","93.98 %","93.60 %","100","100.00","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-1View Gene Tree","ODF1  (ENSAPLG00000001670)Compare Regions (2:137,531,723-137,536,123:-1)View Sequence Alignments","n/a","30.77 %","30.40 %","75","41.21","Yes"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","ODF1  (ENSACAG00000009176)Compare Regions (4:13,907,726-13,917,938:-1)View Sequence Alignments","n/a","43.41 %","35.60 %","100","n/a","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","ODF1  (ENSANAG00000029676)Compare Regions (KZ202652.1:387,023-395,548:-1)View Sequence Alignments","0.14432","94.26 %","92.00 %","100","100.00","Yes"
"Okarito brown kiwi (Apteryx rowi)","1-to-1View Gene Tree","ODF1  (ENSARWG00000017948)Compare Regions (PTFB01000248.1:312,787-319,231:-1)View Sequence Alignments","n/a","28.57 %","36.00 %","100","36.09","Yes"
"American bison (Bison bison bison)","1-to-1View Gene Tree","ODF1  (ENSBBBG00000009052)Compare Regions (KN265185.1:19,499,666-19,509,016:-1)View Sequence Alignments","0.02645","95.26 %","96.40 %","100","100.00","Yes"
"Hybrid - Bos Indicus (Bos indicus x Bos taurus)","1-to-1View Gene Tree","ODF1  (ENSBIXG00005012795)Compare Regions (14:62,139,128-62,149,019:-1)View Sequence Alignments","0.02508","92.37 %","96.80 %","100","100.00","Yes"
"Wild yak (Bos mutus)","1-to-1View Gene Tree","ODF1  (ENSBMUG00000026076)Compare Regions (JH881522.1:1,254,703-1,264,022:-1)View Sequence Alignments","0.03267","94.47 %","95.60 %","100","100.00","Yes"
"Cow (Bos taurus)","1-to-1View Gene Tree","ODF1  (ENSBTAG00000003445)Compare Regions (14:61,844,561-61,854,021:-1)View Sequence Alignments","0.02874","91.98 %","96.40 %","100","100.00","Yes"
"Hybrid - Bos Taurus (Bos indicus x Bos taurus)","1-to-1View Gene Tree","ODF1  (ENSBIXG00000000562)Compare Regions (14:20,402,280-20,412,174:1)View Sequence Alignments","0.02874","91.98 %","96.40 %","100","100.00","Yes"
"Marmoset (Callithrix jacchus)","1-to-1View Gene Tree","ODF1  (ENSCJAG00000016066)Compare Regions (NTIC01007779.1:5,060,502-5,073,467:1)View Sequence Alignments","0.08000","96.00 %","96.00 %","100","100.00","Yes"
"Dog (Canis lupus familiaris)","1-to-1View Gene Tree","ODF1  (ENSCAFG00000030644)Compare Regions (13:4,137,257-4,146,555:1)View Sequence Alignments","0.03239","94.38 %","94.00 %","100","100.00","Yes"
"Dingo (Canis lupus dingo)","1-to-1View Gene Tree","ODF1  (ENSCAFG00020002923)Compare Regions (QKWQ01000609.1:4,301,359-4,310,550:1)View Sequence Alignments","0.03239","94.38 %","94.00 %","100","100.00","Yes"
"Goat (Capra hircus)","1-to-1View Gene Tree","ODF1  (ENSCHIG00000024723)Compare Regions (14:20,321,519-20,331,310:1)View Sequence Alignments","0.02670","92.28 %","95.60 %","100","100.00","Yes"
"Tarsier (Carlito syrichta)","1-to-1View Gene Tree","ODF1  (ENSTSYG00000012718)Compare Regions (KE931697.1:58,003-69,335:-1)View Sequence Alignments","0.02990","91.94 %","91.20 %","0","100.00","Yes"
"American beaver (Castor canadensis)","1-to-1View Gene Tree","Odf1  (ENSCCNG00000026836)Compare Regions (MTKA01002406.1:96,363-104,055:-1)View Sequence Alignments","0.02192","95.65 %","96.80 %","75","100.00","Yes"
