"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-1View Gene Tree","hspa12a  (ENSAPOG00000021698)Compare Regions (MVNR01000190.1:486,142-548,223:-1)View Sequence Alignments","n/a","79.43 %","77.02 %","75","74.14","Yes"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","HSPA12A  (ENSAMEG00000014024)Compare Regions (GL192543.1:1,084,115-1,114,320:-1)View Sequence Alignments","0.04178","96.15 %","93.79 %","100","98.15","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-1View Gene Tree","hspa12a  (ENSACIG00000007372)Compare Regions (CCOE01001091.1:270,683-304,367:-1)View Sequence Alignments","n/a","80.71 %","75.58 %","25","80.82","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-1View Gene Tree","hspa12a  (ENSAOCG00000004810)Compare Regions (NXFZ01001896.1:681,234-742,449:-1)View Sequence Alignments","n/a","79.73 %","77.31 %","75","88.40","Yes"
"Orange clownfish (Amphiprion percula)","1-to-1View Gene Tree","hspa12a  (ENSAPEG00000003555)Compare Regions (20:19,902,028-19,962,660:-1)View Sequence Alignments","n/a","79.58 %","77.17 %","75","82.55","Yes"
"Climbing perch (Anabas testudineus)","1-to-1View Gene Tree","hspa12a  (ENSATEG00000004846)Compare Regions (OOHO01000014.1:800,081-843,840:-1)View Sequence Alignments","n/a","79.26 %","77.31 %","75","86.77","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-1View Gene Tree","HSPA12A  (ENSAPLG00000009823)Compare Regions (6:29,475,191-29,571,712:-1)View Sequence Alignments","n/a","86.61 %","85.98 %","100","95.99","Yes"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","HSPA12A  (ENSACAG00000010065)Compare Regions (GL343206.1:1,900,869-1,976,782:1)View Sequence Alignments","n/a","88.54 %","84.83 %","100","97.65","Yes"
"Pink-footed goose (Anser brachyrhynchus)","1-to-1View Gene Tree","HSPA12A  (ENSABRG00000001707)Compare Regions (NXHY01000012.1:2,740,395-2,837,814:1)View Sequence Alignments","n/a","79.55 %","85.98 %","100","92.18","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","HSPA12A  (ENSANAG00000025973)Compare Regions (KZ203535.1:3,299,000-3,480,460:1)View Sequence Alignments","0.09897","95.54 %","95.95 %","100","100.00","Yes"
