"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-manyView Gene Tree","cryaa  (ENSAPOG00000000568)Compare Regions (MVNR01000559.1:74,613-76,637:-1)View Sequence Alignments","n/a","71.02 %","72.25 %","25","99.81","Yes"
"Panda (Ailuropoda melanoleuca)","1-to-manyView Gene Tree","ENSAMEG00000006777Compare Regions (GL194976.1:43,708-46,377:-1)View Sequence Alignments","0.04530","92.49 %","92.49 %","25","100.00","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-manyView Gene Tree","cryaa  (ENSACIG00000017726)Compare Regions (CCOE01000698.1:121,453-123,111:-1)View Sequence Alignments","n/a","67.23 %","68.79 %","25","99.81","Yes"
"Clown anemonefish (Amphiprion ocellaris)","1-to-manyView Gene Tree","cryaa  (ENSAOCG00000011421)Compare Regions (NXFZ01003864.1:40,459-41,980:-1)View Sequence Alignments","n/a","70.62 %","72.25 %","25","100.00","Yes"
"Orange clownfish (Amphiprion percula)","1-to-manyView Gene Tree","cryaa  (ENSAPEG00000008742)Compare Regions (24:18,963,624-18,966,166:-1)View Sequence Alignments","n/a","71.02 %","72.25 %","25","100.00","Yes"
"Climbing perch (Anabas testudineus)","1-to-manyView Gene Tree","cryaa  (ENSATEG00000011924)Compare Regions (OOHO01000004.1:13,533,812-13,535,797:-1)View Sequence Alignments","n/a","67.23 %","68.79 %","25","99.81","Yes"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-manyView Gene Tree","ENSAPLG00000017972Compare Regions (1:123,742,993-123,745,947:-1)View Sequence Alignments","n/a","83.24 %","83.24 %","100","100.00","Yes"
"Anole lizard (Anolis carolinensis)","1-to-manyView Gene Tree","ENSACAG00000017837Compare Regions (3:137,146,449-137,151,667:-1)View Sequence Alignments","n/a","79.65 %","79.19 %","100","100.00","Yes"
"Pink-footed goose (Anser brachyrhynchus)","1-to-manyView Gene Tree","ENSABRG00000015013Compare Regions (NXHY01000013.1:10,455,164-10,458,958:-1)View Sequence Alignments","n/a","83.24 %","83.24 %","100","100.00","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-manyView Gene Tree","ENSANAG00000021687Compare Regions (KZ208815.1:2,715,116-2,722,524:-1)View Sequence Alignments","0.07270","96.53 %","96.53 %","75","100.00","Yes"
"Great spotted kiwi (Apteryx haastii)","1-to-manyView Gene Tree","ENSAHAG00000002849Compare Regions (PTFD01000129.1:581,219-583,869:1)View Sequence Alignments","n/a","83.24 %","83.24 %","100","100.00","Yes"
"Little spotted kiwi (Apteryx owenii)","1-to-manyView Gene Tree","ENSAOWG00000014606Compare Regions (PTFC01000139.1:580,996-583,642:1)View Sequence Alignments","n/a","83.24 %","83.24 %","100","100.00","Yes"
"Okarito brown kiwi (Apteryx rowi)","1-to-manyView Gene Tree","ENSARWG00000017774Compare Regions (PTFB01000318.1:499,373-502,018:-1)View Sequence Alignments","n/a","82.08 %","82.08 %","100","100.00","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-manyView Gene Tree","cryaa  (ENSACLG00000007367)Compare Regions (23:41,809,958-41,811,297:1)View Sequence Alignments","n/a","70.62 %","72.25 %","0","99.81","Yes"
"Pachon cavefish (Astyanax mexicanus)","1-to-manyView Gene Tree","cryaa  (ENSAMXG00005012076)Compare Regions (KB871589.1:675,282-678,562:1)View Sequence Alignments","n/a","71.68 %","71.68 %","50","100.00","Yes"
"Siamese fighting fish (Betta splendens)","1-to-manyView Gene Tree","cryaa  (ENSBSLG00000007055)Compare Regions (2:11,609,013-11,614,786:-1)View Sequence Alignments","n/a","68.75 %","69.94 %","25","99.81","Yes"
"American bison (Bison bison bison)","1-to-manyView Gene Tree","ENSBBBG00000014669Compare Regions (KN264752.1:8,048,273-8,050,943:-1)View Sequence Alignments","n/a","79.67 %","83.81 %","100","100.00","Yes"
"Hybrid - Bos Indicus (Bos indicus x Bos taurus)","1-to-manyView Gene Tree","ENSBIXG00005020745Compare Regions (1:142,684,467-142,687,594:1)View Sequence Alignments","0.03130","94.22 %","94.22 %","100","100.00","Yes"
"Wild yak (Bos mutus)","1-to-manyView Gene Tree","ENSBMUG00000012764Compare Regions (JH882971.1:717,186-719,723:1)View Sequence Alignments","0.03493","93.64 %","93.64 %","100","100.00","Yes"
"Cow (Bos taurus)","1-to-manyView Gene Tree","CRYAA  (ENSBTAG00000003134)Compare Regions (1:143,317,096-143,319,925:1)View Sequence Alignments","0.03221","94.22 %","94.22 %","100","100.00","Yes"
"Hybrid - Bos Taurus (Bos indicus x Bos taurus)","1-to-manyView Gene Tree","ENSBIXG00000027408Compare Regions (1:14,087,826-14,090,956:-1)View Sequence Alignments","0.03221","94.22 %","94.22 %","100","100.00","Yes"
"Caenorhabditis elegans (Caenorhabditis elegans)","Many-to-manyView Gene Tree","hsp-12.2  (WBGene00002011)Compare Regions (III:8,138,090-8,139,645:1)View Sequence Alignments","n/a","35.45 %","22.54 %","n/a","n/a","No"
"Caenorhabditis elegans (Caenorhabditis elegans)","Many-to-manyView Gene Tree","hsp-16.1  (WBGene00002015)Compare Regions (V:9,087,293-9,087,782:-1)View Sequence Alignments","n/a","24.83 %","20.81 %","n/a","n/a","No"
"Caenorhabditis elegans (Caenorhabditis elegans)","Many-to-manyView Gene Tree","hsp-16.2  (WBGene00002016)Compare Regions (V:1,804,334-1,804,971:-1)View Sequence Alignments","n/a","24.14 %","20.23 %","n/a","n/a","No"
"Caenorhabditis elegans (Caenorhabditis elegans)","Many-to-manyView Gene Tree","hsp-16.11  (WBGene00002017)Compare Regions (V:9,090,077-9,090,604:1)View Sequence Alignments","n/a","24.83 %","20.81 %","n/a","n/a","No"
"Caenorhabditis elegans (Caenorhabditis elegans)","Many-to-manyView Gene Tree","hsp-16.41  (WBGene00002018)Compare Regions (V:1,805,178-1,805,875:1)View Sequence Alignments","n/a","22.38 %","18.50 %","n/a","n/a","No"
"Caenorhabditis elegans (Caenorhabditis elegans)","Many-to-manyView Gene Tree","hsp-16.48  (WBGene00002019)Compare Regions (V:9,088,131-9,088,617:1)View Sequence Alignments","n/a","23.78 %","19.65 %","n/a","n/a","No"
"Caenorhabditis elegans (Caenorhabditis elegans)","Many-to-manyView Gene Tree","hsp-16.49  (WBGene00002020)Compare Regions (V:9,089,280-9,089,766:-1)View Sequence Alignments","n/a","23.78 %","19.65 %","n/a","n/a","No"
