"Species","Type","Orthologue","dN/dS","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-manyView Gene Tree","zgc:122979  (ENSAPOG00000007367)Compare Regions (MVNR01000748.1:12,905-17,067:-1)View Sequence Alignments","n/a","51.56 %","42.86 %","0","n/a","No"
"Spiny chromis (Acanthochromis polyacanthus)","1-to-manyView Gene Tree","DNAJB5  (ENSAPOG00000011701)Compare Regions (MVNR01000015.1:148,817-159,050:1)View Sequence Alignments","n/a","70.92 %","56.49 %","50","88.02","Yes"
"Panda (Ailuropoda melanoleuca)","1-to-1View Gene Tree","DNAJB5  (ENSAMEG00000015901)Compare Regions (GL194731.1:10,149-16,898:-1)View Sequence Alignments","0.07502","97.38 %","88.53 %","50","100.00","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-manyView Gene Tree","zgc:122979  (ENSACIG00000014559)Compare Regions (CCOE01000268.1:206,911-209,877:-1)View Sequence Alignments","n/a","51.79 %","37.66 %","0","78.05","Yes"
"Midas cichlid (Amphilophus citrinellus)","1-to-manyView Gene Tree","ENSACIG00000020537Compare Regions (CCOE01000938.1:936,935-943,962:-1)View Sequence Alignments","n/a","70.11 %","55.84 %","25","n/a","No"
"Clown anemonefish (Amphiprion ocellaris)","1-to-manyView Gene Tree","zgc:122979  (ENSAOCG00000019527)Compare Regions (NXFZ01002396.1:675,025-678,901:-1)View Sequence Alignments","n/a","51.56 %","42.86 %","0","n/a","No"
"Clown anemonefish (Amphiprion ocellaris)","1-to-manyView Gene Tree","DNAJB5  (ENSAOCG00000021915)Compare Regions (NXFZ01005807.1:15,780-25,913:-1)View Sequence Alignments","n/a","70.11 %","55.84 %","0","87.98","Yes"
"Orange clownfish (Amphiprion percula)","1-to-manyView Gene Tree","zgc:122979  (ENSAPEG00000020524)Compare Regions (16:14,191,232-14,195,079:1)View Sequence Alignments","n/a","51.56 %","42.86 %","0","n/a","No"
"Orange clownfish (Amphiprion percula)","1-to-manyView Gene Tree","DNAJB5  (ENSAPEG00000021048)Compare Regions (5:24,839,364-24,848,954:1)View Sequence Alignments","n/a","70.11 %","55.84 %","25","87.98","Yes"
"Climbing perch (Anabas testudineus)","1-to-manyView Gene Tree","DNAJB5  (ENSATEG00000005822)Compare Regions (OOHO01000012.1:11,608,930-11,614,483:1)View Sequence Alignments","n/a","71.51 %","53.25 %","50","87.91","Yes"
"Climbing perch (Anabas testudineus)","1-to-manyView Gene Tree","zgc:122979  (ENSATEG00000014105)Compare Regions (OOHO01000014.1:27,894,355-27,898,023:-1)View Sequence Alignments","n/a","52.34 %","43.51 %","0","n/a","No"
"Duck (Anas platyrhynchos platyrhynchos)","1-to-1View Gene Tree","DNAJB5  (ENSAPLG00000002110)Compare Regions (Z:482,401-493,068:-1)View Sequence Alignments","n/a","87.90 %","66.02 %","100","89.18","Yes"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","DNAJB5  (ENSACAG00000014160)Compare Regions (GL343305.1:1,594,561-1,611,243:-1)View Sequence Alignments","n/a","75.60 %","67.75 %","0","82.72","Yes"
"Pink-footed goose (Anser brachyrhynchus)","1-to-1View Gene Tree","DNAJB5  (ENSABRG00000010704)Compare Regions (NXHY01000324.1:543,070-556,641:-1)View Sequence Alignments","n/a","81.94 %","65.80 %","75","90.15","Yes"
"Ma's night monkey (Aotus nancymaae)","1-to-1View Gene Tree","DNAJB5  (ENSANAG00000035621)Compare Regions (KZ199983.1:3,436,040-3,443,585:-1)View Sequence Alignments","0.04511","99.35 %","99.35 %","100","100.00","Yes"
"Great spotted kiwi (Apteryx haastii)","1-to-1View Gene Tree","DNAJB5  (ENSAHAG00000005397)Compare Regions (PTFD01000341.1:694,707-713,282:1)View Sequence Alignments","n/a","84.10 %","67.53 %","100","92.61","Yes"
"Little spotted kiwi (Apteryx owenii)","1-to-1View Gene Tree","DNAJB5  (ENSAOWG00000015582)Compare Regions (PTFC01000356.1:306,742-327,282:-1)View Sequence Alignments","n/a","84.10 %","67.53 %","100","92.67","Yes"
"Okarito brown kiwi (Apteryx rowi)","1-to-1View Gene Tree","DNAJB5  (ENSARWG00000016543)Compare Regions (PTFB01000290.1:545,573-563,956:-1)View Sequence Alignments","n/a","84.10 %","67.53 %","100","92.61","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-manyView Gene Tree","zgc:122979  (ENSACLG00000000342)Compare Regions (7:17,378,207-17,385,135:-1)View Sequence Alignments","n/a","46.09 %","44.59 %","0","74.06","Yes"
"Eastern happy (Astatotilapia calliptera)","1-to-manyView Gene Tree","ENSACLG00000002419Compare Regions (12:19,158,787-19,168,705:-1)View Sequence Alignments","n/a","70.65 %","56.28 %","25","n/a","No"
"Mexican tetra (Astyanax mexicanus)","1-to-1View Gene Tree","zgc:122979  (ENSAMXG00000014680)Compare Regions (14:26,445,539-26,450,875:-1)View Sequence Alignments","n/a","37.76 %","35.71 %","0","n/a","No"
